$ Get data for 692:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:30:46 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA692           Pigtail Peak
WA692       0202  10     41.00
WA692       0202  11     33.00
WA692       0202  12     30.00
WA692       0202  13     31.00
WA692       0202  14     45.00
WA692       0202  15     33.00
WA692       0202  16     38.00
WA692       0202  17     34.00
WA692       0202  18     35.00
WA692       0202  19     30.00
WA692       0202  20     39.00
WA692       0202  21     39.00
WA692       0202  22     40.00
WA692       0202  23     34.00
WA692       0202  24     27.00
WA692       0202  25     21.00
WA692       0202  26     37.00
WA692       0202  27     35.00
WA692       0202  28     32.00
WA692       0302   1     35.00
WA692       0302   2     40.00
WA692       0302   3     49.00
WA692       0302   4     43.00
WA692       0302   5     25.00
WA692       0302   6     32.00
WA692       0302   7     19.00
WA692       0302   8     15.00
WA692       0302   9     28.00
WA692       0302  10     29.00
WA692       0302  11     32.00
WA692       0302  12     28.00
WA692       0302  13     28.00
WA692       0302  14     27.00
WA692       0302  15     32.00
WA692       0302  16     30.00
WA692       0302  17     31.00
WA692       0302  18     23.00
WA692       0302  19     28.00
WA692       0302  20     36.00
WA692       0302  21     22.00
WA692       0302  22     45.00
WA692       0302  23     39.00
WA692       0302  24     33.00
WA692       0302  25     47.00
WA692       0302  26     39.00
WA692       0302  27     27.00
WA692       0302  28     31.00
WA692       0302  29     34.00
WA692       0302  30     50.00
WA692       0302  31     35.00
WA692       0402   1     38.00
WA692       0402   2     45.00
WA692       0402   3     54.00
WA692       0402   4     62.00
WA692       0402   5     52.00
WA692       0402   6     35.00
WA692       0402   7     35.00
WA692       0402   8     53.00
WA692       0402   9     40.00
WA692       0402  10     40.00
WA692       0402  11     42.00
WA692       0402  12     47.00
WA692       0402  13     46.00
WA692       0402  14     36.00
WA692       0402  15     30.00
WA692       0402  16     41.00
WA692       0402  17     38.00
WA692       0402  18     41.00
WA692       0402  19     45.00
WA692       0402  20     50.00
WA692       0402  21     36.00
WA692       0402  22     31.00
WA692       0402  23     37.00
WA692       0402  24     51.00
WA692       0402  25     46.00
WA692       0402  26     36.00
WA692       0402  27     35.00
WA692       0402  28     48.00
WA692       0402  29     57.00
WA692       0402  30     56.00
WA692       0502   1     57.00
WA692       0502   2     40.00
WA692       0502   3     35.00
WA692       0502   4     38.00
WA692       0502   5     31.00
WA692       0502   6     28.00
WA692       0502   7     30.00
WA692       0502   8     47.00
WA692       0502   9     42.00
WA692       0502  10     49.00
WA692       0502  11     56.00
WA692       0502  12     58.00
WA692       0502  13     49.00
WA692       0502  14     40.00
WA692       0502  15     47.00
WA692       0502  16     59.00
WA692       0502  17     49.00
WA692       0502  18     46.00
WA692       0502  19     51.00
WA692       0502  20     44.00
WA692       0502  21     35.00
WA692       0502  22     37.00
WA692       0502  23     49.00
WA692       0502  24     60.00
WA692       0502  25     51.00
WA692       0502  26     54.00
WA692       0502  27     58.00
WA692       0502  28     50.00
WA692       0502  29     52.00
WA692       0502  30     56.00
WA692       0502  31     53.00
WA692       0602   1     55.00
WA692       0602   2     55.00
WA692       0602   3     58.00
WA692       0602   4     53.00
WA692       0602   5     44.00
WA692       0602   6     42.00
WA692       0602   7     39.00
WA692       0602   8     41.00
WA692       0602   9     53.00
WA692       0602  10     58.00
WA692       0602  11     67.00
WA692       0602  12     65.00
WA692       0602  13     65.00
WA692       0602  14     71.00
WA692       0602  15     71.00
WA692       0602  16     52.00
WA692       0602  17     49.00
WA692       0602  18     38.00
WA692       0602  19     54.00
WA692       0602  20     62.00
WA692       0602  21     70.00
WA692       0602  22     67.00
WA692       0602  23     55.00
WA692       0602  24     63.00
WA692       0602  25     78.00
WA692       0602  26     78.00
WA692       0602  27     56.00
WA692       0602  28     47.00
WA692       0602  29     47.00
WA692       0602  30     49.00
WA692       0702   1     52.00
WA692       0702   2     60.00
WA692       0702   3     49.00
WA692       0702   4     44.00
WA692       0702   5     60.00
WA692       0702   6     69.00
WA692       0702   7     70.00
WA692       0702   8     46.00
WA692       0702   9     67.00
WA692       0702  10     83.00
WA692       0702  11     78.00
WA692       0702  12     83.00
WA692       0702  13     79.00
WA692       0702  14     61.00
WA692       0702  15     69.00
WA692       0702  16     70.00
WA692       0702  17     68.00
WA692       0702  18     66.00
WA692       0702  19     57.00
WA692       0702  20     67.00
WA692       0702  21     75.00
WA692       0702  22     76.00
WA692       0702  23     72.00
WA692       0702  24     75.00
WA692       0702  25     66.00
WA692       0702  26     58.00
WA692       0702  27     58.00
WA692       0702  28     56.00
WA692       0702  29     64.00
WA692       0702  30     56.00
WA692       0702  31     58.00
WA692       0802   1     64.00
WA692       0802   2     52.00
WA692       0802   3     62.00
WA692       0802   4     46.00
WA692       0802   5     49.00
WA692       0802   6     44.00
WA692       0802   7     57.00
WA692       0802   8     62.00
WA692       0802   9     68.00
WA692       0802  10     64.00
WA692       0802  11     68.00
WA692       0802  12     73.00
WA692       0802  13     81.00
WA692       0802  14     72.00
WA692       0802  15     72.00
WA692       0802  16     70.00
WA692       0802  17     63.00
WA692       0802  18     67.00
WA692       0802  19     58.00
WA692       0802  20     45.00
WA692       0802  21     58.00
WA692       0802  22     68.00
WA692       0802  23     69.00
WA692       0802  24     68.00
WA692       0802  25     58.00
WA692       0802  26     56.00
WA692       0802  27     69.00
WA692       0802  28     73.00
WA692       0802  29     67.00
WA692       0802  30     60.00
WA692       0802  31     65.00
WA692       0902   1     53.00
WA692       0902   2     61.00
WA692       0902   3     47.00
WA692       0902   4     52.00
WA692       0902   5     51.00
WA692       0902   6     53.00
WA692       0902   7     46.00
WA692       0902   8     49.00
WA692       0902   9     63.00
WA692       0902  10     69.00
WA692       0902  11     76.00
WA692       0902  12     72.00
WA692       0902  13     76.00
WA692       0902  14     70.00
WA692       0902  15     60.00
WA692       0902  16     43.00
WA692       0902  17     46.00
WA692       0902  18     56.00
WA692       0902  19     58.00
WA692       0902  20     55.00
WA692       0902  21     53.00
WA692       0902  22     72.00
WA692       0902  23     70.00
WA692       0902  24     64.00
WA692       0902  25     63.00
WA692       0902  26     60.00
WA692       0902  27     55.00
WA692       0902  28     58.00
WA692       0902  29     41.00
WA692       0902  30     34.00
WA692       1002   1     44.00
WA692       1002   2     48.00
WA692       1002   3     44.00
WA692       1002   4     42.00
WA692       1002   5     42.00
WA692       1002   6     61.00
WA692       1002   7     52.00
WA692       1002   8     54.00
WA692       1002   9     47.00
WA692       1002  10     31.00
WA692       1002  11     37.00
