$ Get data for 824:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:17 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA824           Touchet
WA824       0801  22     69.00
WA824       0801  23     60.00
WA824       0801  24     62.00
WA824       0801  25     74.00
WA824       0801  26     81.00
WA824       0801  27     75.00
WA824       0801  28     72.00
WA824       0801  29     76.00
WA824       0801  30     77.00
WA824       0801  31     73.00
WA824       0901   1     67.00
WA824       0901   2     70.00
WA824       0901   3     71.00
WA824       0901   4     72.00
WA824       0901   5     54.00
WA824       0901   6     57.00
WA824       0901   7     57.00
WA824       0901   8     64.00
WA824       0901   9     73.00
WA824       0901  10     74.00
WA824       0901  11     74.00
WA824       0901  12     76.00
WA824       0901  13     69.00
WA824       0901  14     77.00
WA824       0901  15     76.00
WA824       0901  16     74.00
WA824       0901  17     72.00
WA824       0901  18     67.00
WA824       0901  19     58.00
WA824       0901  20     69.00
WA824       0901  21     65.00
WA824       0901  22     73.00
WA824       0901  23     83.00
WA824       0901  24     81.00
WA824       0901  25     74.00
WA824       0901  26     62.00
WA824       0901  27     57.00
WA824       0901  28     53.00
WA824       0901  29     61.00
WA824       0901  30     73.00
WA824       1001   1     72.00
WA824       1001   2     64.00
WA824       1001   3     61.00
WA824       1001   4     57.00
WA824       1001   5     62.00
WA824       1001   6     56.00
WA824       1001   7     48.00
WA824       1001   8     40.00
WA824       1001   9     41.00
WA824       1001  10     49.00
WA824       1001  11     40.00
WA824       1001  12     43.00
WA824       1001  13     47.00
WA824       1001  14     45.00
WA824       1001  15     54.00
WA824       1001  16     64.00
WA824       1001  17     40.00
WA824       1001  18     47.00
WA824       1001  19     45.00
WA824       1001  20     54.00
WA824       1001  21     46.00
WA824       1001  22     44.00
WA824       1001  23     32.00
WA824       1001  24     39.00
WA824       1001  25     40.00
WA824       1001  26     57.00
WA824       1001  27     54.00
WA824       1001  28     41.00
WA824       1001  29     46.00
WA824       1001  30     44.00
WA824       1001  31     39.00
WA824       1101   1     40.00
WA824       1101   2     49.00
WA824       1101   3     56.00
WA824       1101   4     59.00
WA824       1101   5     47.00
WA824       1101   6     37.00
WA824       1101   7     44.00
WA824       1101   8     47.00
WA824       1101   9     52.00
WA824       1101  10     53.00
WA824       1101  11     52.00
WA824       1101  12     54.00
WA824       1101  13     48.00
WA824       1101  14     46.00
WA824       1101  15     49.00
WA824       1101  16     46.00
WA824       1101  17     35.00
WA824       1101  18     41.00
WA824       1101  19     46.00
WA824       1101  20     44.00
WA824       1101  21     37.00
WA824       1101  22     35.00
WA824       1101  23     30.00
WA824       1101  24     28.00
WA824       1101  25     28.00
WA824       1101  26     31.00
WA824       1101  27   -999.00
WA824       1101  28     28.00
WA824       1101  29     30.00
WA824       1101  30     26.00
WA824       1201   1     32.00
WA824       1201   2     30.00
WA824       1201   3     29.00
WA824       1201   4     24.00
WA824       1201   5     26.00
WA824       1201   6     32.00
WA824       1201   7     35.00
WA824       1201   8     34.00
WA824       1201   9     29.00
WA824       1201  10     25.00
