$ Get data for 899:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:41:54 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA899           Tinkham Creek
WA899       0802  18     77.00
WA899       0802  19     69.00
WA899       0802  20     51.00
WA899       0802  21     55.00
WA899       0802  22     75.00
WA899       0802  23     81.00
WA899       0802  24     77.00
WA899       0802  25     67.00
WA899       0802  26     57.00
WA899       0802  27     80.00
WA899       0802  28     87.00
WA899       0802  29     77.00
WA899       0802  30     59.00
WA899       0802  31     75.00
WA899       0902   1     55.00
WA899       0902   2     71.00
WA899       0902   3     60.00
WA899       0902   4     64.00
WA899       0902   5     64.00
WA899       0902   6     64.00
WA899       0902   7     56.00
WA899       0902   8     60.00
WA899       0902   9     73.00
WA899       0902  10     77.00
WA899       0902  11     79.00
WA899       0902  12     79.00
WA899       0902  13     81.00
WA899       0902  14     77.00
WA899       0902  15     64.00
WA899       0902  16     52.00
WA899       0902  17     55.00
WA899       0902  18     61.00
WA899       0902  19     68.00
WA899       0902  20     62.00
WA899       0902  21     65.00
WA899       0902  22     77.00
WA899       0902  23     78.00
WA899       0902  24     74.00
WA899       0902  25     72.00
WA899       0902  26     63.00
WA899       0902  27     65.00
WA899       0902  28     69.00
WA899       0902  29     48.00
WA899       0902  30     47.00
WA899       1002   1     55.00
WA899       1002   2     52.00
WA899       1002   3     52.00
WA899       1002   4     55.00
WA899       1002   5     51.00
WA899       1002   6     62.00
WA899       1002   7     55.00
WA899       1002   8     58.00
WA899       1002   9     56.00
WA899       1002  10     43.00
WA899       1002  11     47.00
WA899       1002  12     52.00
