$ Get data for 943:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:49:36 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA943           Dungeness
WA943       1101  23     40.00
WA943       1101  24     31.00
WA943       1101  25     31.00
WA943       1101  26     38.00
WA943       1101  27     34.00
WA943       1101  28     33.00
WA943       1101  29     33.00
WA943       1101  30     35.00
WA943       1201   1     32.00
WA943       1201   2     29.00
WA943       1201   3     27.00
WA943       1201   4     31.00
WA943       1201   5     32.00
WA943       1201   6     35.00
WA943       1201   7     40.00
WA943       1201   8     40.00
WA943       1201   9     34.00
WA943       1201  10     32.00
WA943       1201  11     35.00
WA943       1201  12     40.00
WA943       1201  13     40.00
WA943       1201  14     31.00
WA943       1201  15     39.00
WA943       1201  16     38.00
WA943       1201  17     28.00
WA943       1201  18     30.00
WA943       1201  19     28.00
WA943       1201  20     30.00
WA943       1201  21     34.00
WA943       1201  22     36.00
WA943       1201  23     40.00
WA943       1201  24     46.00
WA943       1201  25     46.00
WA943       1201  26     45.00
WA943       1201  27     44.00
WA943       1201  28     48.00
WA943       1201  29     43.00
WA943       1201  30     47.00
WA943       1201  31     42.00
WA943       0102   1     45.00
WA943       0102   2     43.00
WA943       0102   3     40.00
WA943       0102   4     38.00
WA943       0102   5     41.00
WA943       0102   6     44.00
WA943       0102   7     44.00
WA943       0102   8     38.00
WA943       0102   9     38.00
WA943       0102  10     41.00
WA943       0102  11     49.00
WA943       0102  12     42.00
WA943       0102  13     31.00
WA943       0102  14     28.00
WA943       0102  15     40.00
WA943       0102  16     32.00
WA943       0102  17     33.00
WA943       0102  18     33.00
WA943       0102  19     38.00
WA943       0102  20     35.00
WA943       0102  21     28.00
WA943       0102  22     30.00
WA943       0102  23     39.00
WA943       0102  24     37.00
WA943       0102  25     31.00
WA943       0102  26     25.00
WA943       0102  27     28.00
WA943       0102  28     29.00
WA943       0102  29     25.00
WA943       0102  30     34.00
WA943       0102  31     32.00
WA943       0202   1     35.00
WA943       0202   2     40.00
WA943       0202   3     41.00
