$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:04 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       0501  15     51.00
WA734       0501  16     47.00
WA734       0501  17     47.00
WA734       0501  18     58.00
WA734       0501  19     56.00
WA734       0501  20     62.00
WA734       0501  21     78.00
WA734       0501  22     84.00
WA734       0501  23     86.00
WA734       0501  24     77.00
WA734       0501  25     81.00
WA734       0501  26     83.00
WA734       0501  27     68.00
WA734       0501  28     50.00
WA734       0501  29     55.00
WA734       0501  30     58.00
WA734       0501  31     81.00
WA734       0601   1     65.00
WA734       0601   2     51.00
WA734       0601   3     56.00
WA734       0601   4     59.00
WA734       0601   5     49.00
WA734       0601   6     60.00
WA734       0601   7     70.00
WA734       0601   8     68.00
WA734       0601   9     55.00
WA734       0601  10     53.00
WA734       0601  11     47.00
WA734       0601  12     51.00
WA734       0601  13     68.00
WA734       0601  14     58.00
WA734       0601  15     65.00
WA734       0601  16     62.00
WA734       0601  17     63.00
WA734       0601  18     71.00
WA734       0601  19     78.00
WA734       0601  20     83.00
WA734       0601  21     81.00
WA734       0601  22     72.00
WA734       0601  23     62.00
WA734       0601  24     57.00
WA734       0601  25     64.00
WA734       0601  26     58.00
WA734       0601  27     56.00
WA734       0601  28     67.00
WA734       0601  29     76.00
WA734       0601  30     73.00
WA734       0701   1     75.00
WA734       0701   2     84.00
WA734       0701   3     89.00
WA734       0701   4     86.00
WA734       0701   5     72.00
WA734       0701   6     74.00
WA734       0701   7     80.00
WA734       0701   8     83.00
WA734       0701   9     90.00
WA734       0701  10     88.00
WA734       0701  11     84.00
WA734       0701  12     85.00
WA734       0701  13     80.00
WA734       0701  14     75.00
WA734       0701  15     58.00
WA734       0701  16     54.00
WA734       0701  17     62.00
WA734       0701  18     62.00
WA734       0701  19     72.00
WA734       0701  20     69.00
WA734       0701  21     73.00
WA734       0701  22     76.00
WA734       0701  23     82.00
WA734       0701  24   -999.00
WA734       0701  25     75.00
WA734       0701  26     76.00
WA734       0701  27     73.00
WA734       0701  28     54.00
