$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       1001  28     42.00
WA975       1001  29     42.00
WA975       1001  30     41.00
WA975       1001  31     41.00
WA975       1101   1     41.00
WA975       1101   2     50.00
WA975       1101   3     51.00
WA975       1101   4     49.00
WA975       1101   5     39.00
WA975       1101   6     42.00
WA975       1101   7     42.00
WA975       1101   8     42.00
WA975       1101   9     51.00
WA975       1101  10     50.00
WA975       1101  11     53.00
WA975       1101  12     47.00
WA975       1101  13     45.00
WA975       1101  14     45.00
WA975       1101  15     46.00
WA975       1101  16     40.00
WA975       1101  17     43.00
WA975       1101  18     43.00
WA975       1101  19     40.00
WA975       1101  20     40.00
WA975       1101  21     39.00
WA975       1101  22     38.00
WA975       1101  23     38.00
WA975       1101  24     34.00
WA975       1101  25     33.00
WA975       1101  26     38.00
WA975       1101  27     35.00
WA975       1101  28     29.00
WA975       1101  29     36.00
WA975       1101  30     31.00
WA975       1201   1     34.00
WA975       1201   2     33.00
WA975       1201   3     30.00
WA975       1201   4     31.00
WA975       1201   5     30.00
WA975       1201   6     31.00
WA975       1201   7     42.00
WA975       1201   8     38.00
WA975       1201   9     32.00
WA975       1201  10     31.00
WA975       1201  11     40.00
WA975       1201  12     30.00
WA975       1201  13     36.00
WA975       1201  14     35.00
WA975       1201  15     31.00
WA975       1201  16     39.00
WA975       1201  17     33.00
WA975       1201  18     27.00
WA975       1201  19     33.00
WA975       1201  20     34.00
WA975       1201  21     38.00
WA975       1201  22     33.00
WA975       1201  23     32.00
WA975       1201  24     28.00
WA975       1201  25     32.00
WA975       1201  26     36.00
WA975       1201  27     34.00
WA975       1201  28     41.00
WA975       1201  29     36.00
WA975       1201  30     36.00
WA975       1201  31     35.00
WA975       0102   1     36.00
WA975       0102   2     37.00
WA975       0102   3     38.00
WA975       0102   4     37.00
WA975       0102   5     36.00
WA975       0102   6     38.00
WA975       0102   7     41.00
WA975       0102   8     37.00
WA975       0102   9     46.00
WA975       0102  10     37.00
WA975       0102  11     39.00
WA975       0102  12     37.00
WA975       0102  13     35.00
WA975       0102  14     33.00
WA975       0102  15     31.00
WA975       0102  16     28.00
WA975       0102  17     34.00
WA975       0102  18     31.00
WA975       0102  19     31.00
WA975       0102  20     31.00
WA975       0102  21     32.00
WA975       0102  22     27.00
WA975       0102  23     29.00
WA975       0102  24     35.00
WA975       0102  25     34.00
WA975       0102  26     38.00
WA975       0102  27     27.00
WA975       0102  28     32.00
WA975       0102  29     24.00
WA975       0102  30     33.00
WA975       0102  31     33.00
WA975       0202   1     33.00
WA975       0202   2     35.00
WA975       0202   3     36.00
WA975       0202   4     35.00
WA975       0202   5     33.00
WA975       0202   6     32.00
WA975       0202   7     38.00
WA975       0202   8     39.00
WA975       0202   9     37.00
WA975       0202  10     42.00
WA975       0202  11     37.00
WA975       0202  12     41.00
WA975       0202  13     38.00
WA975       0202  14     53.00
WA975       0202  15     45.00
WA975       0202  16     43.00
WA975       0202  17     40.00
WA975       0202  18     47.00
WA975       0202  19     37.00
WA975       0202  20     47.00
WA975       0202  21     40.00
WA975       0202  22     36.00
WA975       0202  23     34.00
WA975       0202  24     31.00
WA975       0202  25     33.00
WA975       0202  26     32.00
WA975       0202  27     34.00
WA975       0202  28     32.00
WA975       0302   1     36.00
WA975       0302   2     46.00
WA975       0302   3     53.00
WA975       0302   4     44.00
WA975       0302   5     33.00
WA975       0302   6     19.00
WA975       0302   7     28.00
WA975       0302   8     24.00
WA975       0302   9     31.00
WA975       0302  10     35.00
WA975       0302  11     38.00
WA975       0302  12     37.00
WA975       0302  13     39.00
WA975       0302  14     34.00
WA975       0302  15     37.00
WA975       0302  16     27.00
WA975       0302  17     31.00
WA975       0302  18     28.00
WA975       0302  19     31.00
WA975       0302  20     22.00
WA975       0302  21     38.00
WA975       0302  22     50.00
WA975       0302  23     49.00
WA975       0302  24     42.00
WA975       0302  25     54.00
WA975       0302  26     44.00
WA975       0302  27     35.00
WA975       0302  28     40.00
WA975       0302  29     39.00
WA975       0302  30     46.00
WA975       0302  31     43.00
WA975       0402   1     39.00
WA975       0402   2     46.00
WA975       0402   3     55.00
WA975       0402   4     63.00
WA975       0402   5     59.00
WA975       0402   6     41.00
WA975       0402   7     41.00
WA975       0402   8     53.00
WA975       0402   9     47.00
WA975       0402  10     51.00
WA975       0402  11     50.00
