$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:45 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
WA420       0702  14     61.00
WA420       0702  15     71.00
WA420       0702  16     73.00
WA420       0702  17     73.00
WA420       0702  18     69.00
WA420       0702  19     60.00
WA420       0702  20     67.00
WA420       0702  21     76.00
WA420       0702  22     88.00
WA420       0702  23     78.00
WA420       0702  24     79.00
WA420       0702  25     71.00
WA420       0702  26     55.00
WA420       0702  27     61.00
WA420       0702  28     57.00
WA420       0702  29     60.00
WA420       0702  30     55.00
WA420       0702  31     61.00
WA420       0802   1     68.00
WA420       0802   2     56.00
WA420       0802   3     64.00
WA420       0802   4     53.00
WA420       0802   5     53.00
WA420       0802   6     50.00
WA420       0802   7     58.00
WA420       0802   8     66.00
WA420       0802   9     72.00
WA420       0802  10     62.00
WA420       0802  11     69.00
WA420       0802  12     78.00
WA420       0802  13     83.00
WA420       0802  14     76.00
WA420       0802  15     75.00
WA420       0802  16     68.00
WA420       0802  17     71.00
WA420       0802  18     70.00
WA420       0802  19     64.00
WA420       0802  20     48.00
WA420       0802  21     51.00
WA420       0802  22     66.00
WA420       0802  23     72.00
WA420       0802  24     71.00
WA420       0802  25     56.00
WA420       0802  26     55.00
WA420       0802  27     71.00
WA420       0802  28     81.00
WA420       0802  29     71.00
WA420       0802  30     55.00
WA420       0802  31     67.00
WA420       0902   1     53.00
WA420       0902   2     64.00
WA420       0902   3     53.00
WA420       0902   4     53.00
WA420       0902   5     58.00
WA420       0902   6     57.00
WA420       0902   7     52.00
WA420       0902   8     53.00
WA420       0902   9     64.00
WA420       0902  10     71.00
WA420       0902  11     72.00
WA420       0902  12     72.00
WA420       0902  13     74.00
WA420       0902  14     71.00
WA420       0902  15     53.00
WA420       0902  16     50.00
WA420       0902  17     50.00
WA420       0902  18     56.00
WA420       0902  19     59.00
WA420       0902  20     53.00
WA420       0902  21     60.00
WA420       0902  22     70.00
WA420       0902  23     72.00
WA420       0902  24     67.00
WA420       0902  25     65.00
WA420       0902  26     59.00
WA420       0902  27     54.00
WA420       0902  28     62.00
WA420       0902  29     46.00
WA420       0902  30     43.00
WA420       1002   1     48.00
WA420       1002   2     49.00
WA420       1002   3     49.00
WA420       1002   4     48.00
WA420       1002   5     48.00
WA420       1002   6     55.00
WA420       1002   7     52.00
WA420       1002   8     54.00
WA420       1002   9     46.00
WA420       1002  10     39.00
WA420       1002  11     39.00
WA420       1002  12     51.00
