$ Get data for 912:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:36:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA912           Skookum Creek
WA912       0701  31     60.00
WA912       0801   1     62.00
WA912       0801   2     69.00
WA912       0801   3     59.00
WA912       0801   4     59.00
WA912       0801   5     65.00
WA912       0801   6     62.00
WA912       0801   7     70.00
WA912       0801   8     74.00
WA912       0801   9     85.00
WA912       0801  10     83.00
WA912       0801  11     77.00
WA912       0801  12     82.00
WA912       0801  13     76.00
WA912       0801  14     75.00
WA912       0801  15     79.00
WA912       0801  16     65.00
WA912       0801  17     59.00
WA912       0801  18     56.00
WA912       0801  19     60.00
WA912       0801  20     65.00
WA912       0801  21     53.00
WA912       0801  22     56.00
WA912       0801  23     48.00
WA912       0801  24     64.00
WA912       0801  25     76.00
WA912       0801  26     76.00
WA912       0801  27     70.00
WA912       0801  28     68.00
WA912       0801  29     76.00
WA912       0801  30     70.00
WA912       0801  31     61.00
WA912       0901   1     51.00
WA912       0901   2     64.00
WA912       0901   3     61.00
WA912       0901   4     63.00
WA912       0901   5     46.00
WA912       0901   6     54.00
WA912       0901   7     59.00
WA912       0901   8     69.00
WA912       0901   9     67.00
WA912       0901  10     68.00
WA912       0901  11     72.00
WA912       0901  12     73.00
WA912       0901  13     71.00
WA912       0901  14     74.00
WA912       0901  15     70.00
WA912       0901  16     65.00
WA912       0901  17     52.00
WA912       0901  18     53.00
WA912       0901  19     59.00
WA912       0901  20     64.00
WA912       0901  21     52.00
WA912       0901  22     77.00
WA912       0901  23     81.00
WA912       0901  24     74.00
WA912       0901  25     61.00
WA912       0901  26     49.00
WA912       0901  27     54.00
WA912       0901  28     58.00
WA912       0901  29     64.00
WA912       0901  30     75.00
WA912       1001   1     69.00
WA912       1001   2     63.00
WA912       1001   3     64.00
WA912       1001   4     64.00
WA912       1001   5     66.00
WA912       1001   6     48.00
WA912       1001   7     46.00
WA912       1001   8     45.00
WA912       1001   9     43.00
WA912       1001  10     45.00
WA912       1001  11     40.00
WA912       1001  12     45.00
WA912       1001  13     43.00
WA912       1001  14     48.00
WA912       1001  15     58.00
WA912       1001  16     54.00
WA912       1001  17     41.00
WA912       1001  18     41.00
WA912       1001  19     45.00
WA912       1001  20     46.00
WA912       1001  21     42.00
WA912       1001  22     44.00
WA912       1001  23     36.00
WA912       1001  24     34.00
WA912       1001  25     48.00
WA912       1001  26     54.00
WA912       1001  27     39.00
WA912       1001  28     45.00
WA912       1001  29     49.00
WA912       1001  30     45.00
WA912       1001  31     40.00
WA912       1101   1     42.00
WA912       1101   2     45.00
WA912       1101   3     55.00
WA912       1101   4     51.00
WA912       1101   5     35.00
WA912       1101   6     36.00
WA912       1101   7     43.00
WA912       1101   8     54.00
WA912       1101   9     55.00
WA912       1101  10     59.00
WA912       1101  11     53.00
WA912       1101  12     52.00
WA912       1101  13     46.00
WA912       1101  14     49.00
WA912       1101  15     51.00
WA912       1101  16     40.00
WA912       1101  17     39.00
WA912       1101  18     45.00
WA912       1101  19     47.00
WA912       1101  20     45.00
WA912       1101  21     39.00
WA912       1101  22     38.00
WA912       1101  23     33.00
WA912       1101  24     35.00
WA912       1101  25     33.00
WA912       1101  26     31.00
WA912       1101  27     32.00
WA912       1101  28     34.00
WA912       1101  29     33.00
WA912       1101  30     34.00
WA912       1201   1     35.00
WA912       1201   2     36.00
WA912       1201   3     29.00
WA912       1201   4     28.00
WA912       1201   5     29.00
WA912       1201   6     32.00
WA912       1201   7     41.00
WA912       1201   8     47.00
WA912       1201   9     31.00
WA912       1201  10     35.00
WA912       1201  11     37.00
WA912       1201  12     37.00
WA912       1201  13     38.00
WA912       1201  14     31.00
WA912       1201  15     37.00
WA912       1201  16     41.00
WA912       1201  17     32.00
WA912       1201  18     32.00
WA912       1201  19     37.00
WA912       1201  20     39.00
WA912       1201  21     37.00
WA912       1201  22     36.00
WA912       1201  23     38.00
WA912       1201  24     42.00
WA912       1201  25     39.00
WA912       1201  26     40.00
WA912       1201  27     45.00
WA912       1201  28     46.00
WA912       1201  29     43.00
WA912       1201  30     41.00
WA912       1201  31     40.00
WA912       0102   1     43.00
WA912       0102   2     43.00
WA912       0102   3     36.00
WA912       0102   4     43.00
WA912       0102   5     44.00
WA912       0102   6     47.00
WA912       0102   7     46.00
WA912       0102   8     40.00
WA912       0102   9     40.00
WA912       0102  10     44.00
WA912       0102  11     48.00
WA912       0102  12     46.00
WA912       0102  13     34.00
WA912       0102  14     28.00
WA912       0102  15     28.00
WA912       0102  16     29.00
WA912       0102  17     30.00
WA912       0102  18     31.00
WA912       0102  19     30.00
WA912       0102  20     32.00
WA912       0102  21     27.00
WA912       0102  22     26.00
WA912       0102  23     34.00
WA912       0102  24     34.00
WA912       0102  25     32.00
WA912       0102  26     26.00
WA912       0102  27     27.00
WA912       0102  28     26.00
WA912       0102  29     24.00
WA912       0102  30     32.00
WA912       0102  31     32.00
WA912       0202   1     31.00
WA912       0202   2     40.00
WA912       0202   3     36.00
WA912       0202   4     47.00
WA912       0202   5     42.00
WA912       0202   6     35.00
WA912       0202   7     39.00
WA912       0202   8     32.00
WA912       0202   9     44.00
WA912       0202  10     47.00
WA912       0202  11     31.00
WA912       0202  12     45.00
WA912       0202  13     40.00
WA912       0202  14     48.00
WA912       0202  15     53.00
WA912       0202  16     47.00
WA912       0202  17     41.00
WA912       0202  18     40.00
WA912       0202  19     38.00
WA912       0202  20     46.00
WA912       0202  21     43.00
WA912       0202  22     41.00
WA912       0202  23     41.00
WA912       0202  24     31.00
WA912       0202  25     38.00
WA912       0202  26     44.00
WA912       0202  27     38.00
WA912       0202  28     43.00
WA912       0302   1     43.00
WA912       0302   2     53.00
WA912       0302   3     58.00
WA912       0302   4     48.00
WA912       0302   5     32.00
WA912       0302   6     29.00
WA912       0302   7     26.00
WA912       0302   8     24.00
WA912       0302   9     39.00
WA912       0302  10     35.00
WA912       0302  11     38.00
WA912       0302  12     31.00
WA912       0302  13     35.00
WA912       0302  14     30.00
WA912       0302  15     36.00
WA912       0302  16     38.00
WA912       0302  17     35.00
WA912       0302  18     30.00
WA912       0302  19     30.00
WA912       0302  20     44.00
WA912       0302  21     48.00
WA912       0302  22     56.00
WA912       0302  23     53.00
WA912       0302  24     45.00
WA912       0302  25     48.00
WA912       0302  26     37.00
WA912       0302  27     32.00
WA912       0302  28     35.00
WA912       0302  29     37.00
WA912       0302  30     53.00
WA912       0302  31     45.00
WA912       0402   1     51.00
WA912       0402   2     55.00
WA912       0402   3     59.00
WA912       0402   4     74.00
WA912       0402   5     51.00
WA912       0402   6     39.00
WA912       0402   7     44.00
WA912       0402   8     61.00
WA912       0402   9     45.00
WA912       0402  10     47.00
WA912       0402  11     53.00
WA912       0402  12     42.00
WA912       0402  13     44.00
WA912       0402  14     41.00
WA912       0402  15     36.00
WA912       0402  16     51.00
WA912       0402  17     48.00
WA912       0402  18     56.00
WA912       0402  19     60.00
WA912       0402  20     49.00
WA912       0402  21     42.00
WA912       0402  22     35.00
WA912       0402  23     49.00
WA912       0402  24     61.00
WA912       0402  25     56.00
WA912       0402  26     44.00
WA912       0402  27     44.00
WA912       0402  28     58.00
WA912       0402  29     65.00
WA912       0402  30     69.00
WA912       0502   1     64.00
WA912       0502   2     38.00
WA912       0502   3     47.00
WA912       0502   4     36.00
WA912       0502   5     34.00
WA912       0502   6     38.00
WA912       0502   7     47.00
WA912       0502   8     57.00
WA912       0502   9     47.00
WA912       0502  10     59.00
WA912       0502  11     65.00
WA912       0502  12     70.00
WA912       0502  13     52.00
WA912       0502  14     47.00
WA912       0502  15     51.00
WA912       0502  16     64.00
WA912       0502  17     57.00
WA912       0502  18     57.00
WA912       0502  19     65.00
WA912       0502  20     50.00
WA912       0502  21     51.00
WA912       0502  22     52.00
WA912       0502  23     56.00
WA912       0502  24     66.00
WA912       0502  25     58.00
WA912       0502  26     59.00
WA912       0502  27     68.00
WA912       0502  28     60.00
WA912       0502  29     55.00
WA912       0502  30     64.00
WA912       0502  31     61.00
WA912       0602   1     61.00
WA912       0602   2     62.00
WA912       0602   3     64.00
WA912       0602   4     53.00
WA912       0602   5     57.00
WA912       0602   6     49.00
WA912       0602   7     48.00
WA912       0602   8     47.00
WA912       0602   9     67.00
WA912       0602  10     66.00
WA912       0602  11     71.00
WA912       0602  12     81.00
WA912       0602  13     82.00
WA912       0602  14     71.00
WA912       0602  15     65.00
WA912       0602  16     51.00
WA912       0602  17     55.00
WA912       0602  18     49.00
WA912       0602  19     59.00
WA912       0602  20     74.00
WA912       0602  21     79.00
WA912       0602  22     72.00
WA912       0602  23     61.00
WA912       0602  24     69.00
WA912       0602  25     82.00
WA912       0602  26     82.00
WA912       0602  27     58.00
WA912       0602  28     55.00
WA912       0602  29     54.00
WA912       0602  30     53.00
WA912       0702   1     60.00
WA912       0702   2     65.00
WA912       0702   3     53.00
WA912       0702   4     51.00
WA912       0702   5     68.00
WA912       0702   6     74.00
WA912       0702   7     74.00
