$ Get data for 642:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA642           Morse Lake
WA642       0502  15     46.00
WA642       0502  16     54.00
WA642       0502  17     49.00
WA642       0502  18     46.00
WA642       0502  19     50.00
WA642       0502  20     46.00
WA642       0502  21     41.00
WA642       0502  22     41.00
WA642       0502  23     49.00
WA642       0502  24     59.00
WA642       0502  25     51.00
WA642       0502  26     51.00
WA642       0502  27     55.00
WA642       0502  28     47.00
WA642       0502  29     54.00
WA642       0502  30     55.00
WA642       0502  31     52.00
WA642       0602   1     56.00
WA642       0602   2     51.00
WA642       0602   3     55.00
WA642       0602   4     52.00
WA642       0602   5     49.00
WA642       0602   6     41.00
WA642       0602   7     40.00
WA642       0602   8     35.00
WA642       0602   9     51.00
WA642       0602  10     57.00
WA642       0602  11     63.00
WA642       0602  12     68.00
WA642       0602  13     70.00
WA642       0602  14     71.00
WA642       0602  15     70.00
WA642       0602  16     53.00
WA642       0602  17     44.00
WA642       0602  18     46.00
WA642       0602  19     57.00
WA642       0602  20     66.00
WA642       0602  21     70.00
WA642       0602  22     67.00
WA642       0602  23     57.00
WA642       0602  24     63.00
WA642       0602  25     75.00
WA642       0602  26     78.00
WA642       0602  27     57.00
WA642       0602  28     46.00
WA642       0602  29     45.00
WA642       0602  30     43.00
WA642       0702   1     51.00
WA642       0702   2     60.00
WA642       0702   3     51.00
WA642       0702   4     42.00
WA642       0702   5     62.00
WA642       0702   6     69.00
WA642       0702   7     65.00
WA642       0702   8     50.00
WA642       0702   9     74.00
WA642       0702  10     85.00
WA642       0702  11     78.00
WA642       0702  12     85.00
WA642       0702  13     75.00
WA642       0702  14     60.00
WA642       0702  15     70.00
WA642       0702  16     73.00
WA642       0702  17     68.00
WA642       0702  18     67.00
WA642       0702  19     57.00
WA642       0702  20     66.00
WA642       0702  21     75.00
WA642       0702  22     79.00
WA642       0702  23     74.00
WA642       0702  24     77.00
WA642       0702  25     69.00
WA642       0702  26     61.00
WA642       0702  27     60.00
WA642       0702  28     61.00
WA642       0702  29     64.00
WA642       0702  30     56.00
WA642       0702  31     60.00
WA642       0802   1     66.00
WA642       0802   2     52.00
WA642       0802   3     62.00
WA642       0802   4     45.00
WA642       0802   5     53.00
WA642       0802   6     43.00
WA642       0802   7     56.00
WA642       0802   8     64.00
WA642       0802   9     69.00
WA642       0802  10     63.00
WA642       0802  11     69.00
WA642       0802  12     76.00
WA642       0802  13     80.00
WA642       0802  14     72.00
WA642       0802  15     75.00
WA642       0802  16     72.00
WA642       0802  17     66.00
WA642       0802  18     66.00
WA642       0802  19     62.00
WA642       0802  20     48.00
WA642       0802  21     59.00
WA642       0802  22     70.00
WA642       0802  23     71.00
WA642       0802  24     69.00
WA642       0802  25     62.00
WA642       0802  26     59.00
WA642       0802  27     73.00
WA642       0802  28     75.00
WA642       0802  29     68.00
WA642       0802  30     57.00
WA642       0802  31     67.00
WA642       0902   1     56.00
WA642       0902   2     61.00
WA642       0902   3     45.00
WA642       0902   4     54.00
WA642       0902   5     52.00
WA642       0902   6     54.00
WA642       0902   7     42.00
WA642       0902   8     48.00
WA642       0902   9     64.00
WA642       0902  10     71.00
WA642       0902  11     76.00
WA642       0902  12     74.00
WA642       0902  13     76.00
WA642       0902  14     72.00
WA642       0902  15     62.00
WA642       0902  16     46.00
WA642       0902  17     47.00
WA642       0902  18     56.00
WA642       0902  19     62.00
WA642       0902  20     55.00
WA642       0902  21     60.00
WA642       0902  22     72.00
WA642       0902  23     72.00
WA642       0902  24     66.00
WA642       0902  25     66.00
WA642       0902  26     60.00
WA642       0902  27     55.00
WA642       0902  28     62.00
WA642       0902  29     42.00
WA642       0902  30     37.00
WA642       1002   1     44.00
WA642       1002   2     48.00
WA642       1002   3     46.00
WA642       1002   4     46.00
WA642       1002   5     51.00
WA642       1002   6     62.00
WA642       1002   7     52.00
WA642       1002   8     56.00
WA642       1002   9     50.00
WA642       1002  10     34.00
WA642       1002  11     40.00
WA642       1002  12     47.00
WA642       1002  13     60.00
