$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
WA832       0102   2     32.00
WA832       0102   3     34.00
WA832       0102   4     31.00
WA832       0102   5     29.00
WA832       0102   6     38.00
WA832       0102   7     38.00
WA832       0102   8     34.00
WA832       0102   9     37.00
WA832       0102  10     42.00
WA832       0102  11     36.00
WA832       0102  12     35.00
WA832       0102  13     28.00
WA832       0102  14     23.00
WA832       0102  15     30.00
WA832       0102  16     28.00
WA832       0102  17     24.00
WA832       0102  18     28.00
WA832       0102  19     28.00
WA832       0102  20     28.00
WA832       0102  21     22.00
WA832       0102  22     21.00
WA832       0102  23     30.00
WA832       0102  24     31.00
WA832       0102  25     27.00
WA832       0102  26     19.00
WA832       0102  27     19.00
WA832       0102  28     18.00
WA832       0102  29     21.00
WA832       0102  30     27.00
WA832       0102  31     26.00
WA832       0202   1     27.00
WA832       0202   2     31.00
WA832       0202   3     29.00
WA832       0202   4     35.00
WA832       0202   5     32.00
WA832       0202   6     28.00
WA832       0202   7     26.00
WA832       0202   8     27.00
WA832       0202   9     29.00
WA832       0202  10     35.00
WA832       0202  11     28.00
WA832       0202  12     34.00
WA832       0202  13     35.00
WA832       0202  14     38.00
WA832       0202  15     35.00
WA832       0202  16     38.00
WA832       0202  17     37.00
WA832       0202  18     38.00
WA832       0202  19     31.00
WA832       0202  20     38.00
WA832       0202  21     40.00
WA832       0202  22     42.00
WA832       0202  23     40.00
WA832       0202  24     23.00
WA832       0202  25     18.00
WA832       0202  26     30.00
WA832       0202  27     34.00
WA832       0202  28     28.00
WA832       0302   1     30.00
WA832       0302   2     32.00
WA832       0302   3     48.00
WA832       0302   4     42.00
WA832       0302   5     30.00
WA832       0302   6     25.00
WA832       0302   7     18.00
WA832       0302   8     16.00
WA832       0302   9     27.00
WA832       0302  10     28.00
WA832       0302  11     32.00
WA832       0302  12     31.00
WA832       0302  13     32.00
WA832       0302  14     31.00
WA832       0302  15     29.00
WA832       0302  16     28.00
WA832       0302  17     27.00
WA832       0302  18     24.00
WA832       0302  19     29.00
WA832       0302  20     28.00
WA832       0302  21     28.00
WA832       0302  22     39.00
WA832       0302  23     43.00
WA832       0302  24     44.00
WA832       0302  25     43.00
WA832       0302  26     38.00
WA832       0302  27     32.00
WA832       0302  28     37.00
WA832       0302  29     41.00
WA832       0302  30     47.00
WA832       0302  31     50.00
WA832       0402   1     39.00
WA832       0402   2     35.00
WA832       0402   3     45.00
WA832       0402   4     51.00
WA832       0402   5     51.00
WA832       0402   6     38.00
WA832       0402   7     43.00
WA832       0402   8     47.00
WA832       0402   9     39.00
WA832       0402  10     40.00
WA832       0402  11     41.00
WA832       0402  12     48.00
WA832       0402  13     47.00
WA832       0402  14     40.00
WA832       0402  15     33.00
WA832       0402  16     33.00
WA832       0402  17     36.00
WA832       0402  18     43.00
