$ Get data for 507:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:53:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA507           Grouse Camp
WA507       0901  28     31.00
WA507       0901  29     33.00
WA507       0901  30     38.00
WA507       1001   1     43.00
WA507       1001   2     37.00
WA507       1001   3     40.00
WA507       1001   4     38.00
WA507       1001   5     28.00
WA507       1001   6     31.00
WA507       1001   7     29.00
WA507       1001   8     30.00
WA507       1001   9     28.00
WA507       1001  10     28.00
WA507       1001  11     28.00
WA507       1001  12     28.00
WA507       1001  13     29.00
WA507       1001  14     30.00
WA507       1001  15     27.00
WA507       1001  16     27.00
WA507       1001  17     25.00
WA507       1001  18     28.00
WA507       1001  19     31.00
WA507       1001  20     28.00
WA507       1001  21     31.00
WA507       1001  22     27.00
WA507       1001  23     23.00
WA507       1001  24     23.00
WA507       1001  25     29.00
WA507       1001  26     30.00
WA507       1001  27     21.00
WA507       1001  28     19.00
WA507       1001  29     24.00
WA507       1001  30     33.00
WA507       1001  31     28.00
WA507       1101   1     30.00
WA507       1101   2     30.00
WA507       1101   3     32.00
WA507       1101   4     33.00
WA507       1101   5     22.00
WA507       1101   6     21.00
WA507       1101   7     19.00
WA507       1101   8     22.00
WA507       1101   9     33.00
WA507       1101  10     32.00
WA507       1101  11     31.00
WA507       1101  12     33.00
WA507       1101  13     31.00
WA507       1101  14     35.00
WA507       1101  15     32.00
WA507       1101  16     29.00
WA507       1101  17     25.00
WA507       1101  18     22.00
WA507       1101  19     26.00
WA507       1101  20     29.00
WA507       1101  21     27.00
WA507       1101  22     28.00
WA507       1101  23     16.00
WA507       1101  24     16.00
WA507       1101  25     20.00
WA507       1101  26     14.00
WA507       1101  27     16.00
WA507       1101  28     17.00
WA507       1101  29     18.00
WA507       1101  30     19.00
WA507       1201   1     23.00
WA507       1201   2     16.00
WA507       1201   3     17.00
WA507       1201   4     15.00
WA507       1201   5     16.00
WA507       1201   6     18.00
WA507       1201   7     16.00
WA507       1201   8     24.00
WA507       1201   9     13.00
WA507       1201  10     16.00
WA507       1201  11     11.00
WA507       1201  12     16.00
WA507       1201  13     25.00
WA507       1201  14     13.00
WA507       1201  15     16.00
WA507       1201  16     29.00
WA507       1201  17      7.00
WA507       1201  18     15.00
WA507       1201  19     18.00
WA507       1201  20     19.00
WA507       1201  21     18.00
WA507       1201  22     15.00
WA507       1201  23     14.00
WA507       1201  24     12.00
WA507       1201  25     10.00
WA507       1201  26     14.00
WA507       1201  27     18.00
WA507       1201  28     22.00
WA507       1201  29     24.00
WA507       1201  30     25.00
WA507       1201  31     23.00
WA507       0102   1     23.00
WA507       0102   2     20.00
WA507       0102   3     21.00
WA507       0102   4     20.00
WA507       0102   5     22.00
WA507       0102   6     25.00
WA507       0102   7     32.00
WA507       0102   8     25.00
WA507       0102   9     22.00
WA507       0102  10     22.00
WA507       0102  11     27.00
