$ Get data for 376:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA376           Bunchgrass Mdw
WA376       0702  27     45.00
WA376       0702  28     43.00
WA376       0702  29     48.00
WA376       0702  30     45.00
WA376       0702  31     32.00
WA376       0802   1     28.00
WA376       0802   2     35.00
WA376       0802   3     29.00
WA376       0802   4     38.00
WA376       0802   5     31.00
WA376       0802   6     31.00
WA376       0802   7     29.00
WA376       0802   8     29.00
WA376       0802   9     38.00
WA376       0802  10     40.00
WA376       0802  11     44.00
WA376       0802  12     42.00
WA376       0802  13     47.00
WA376       0802  14     56.00
WA376       0802  15     47.00
WA376       0802  16     35.00
WA376       0802  17     28.00
WA376       0802  18     37.00
WA376       0802  19     31.00
WA376       0802  20     37.00
WA376       0802  21     37.00
WA376       0802  22     41.00
WA376       0802  23     36.00
WA376       0802  24     38.00
WA376       0802  25     43.00
WA376       0802  26     41.00
WA376       0802  27     39.00
WA376       0802  28     41.00
WA376       0802  29     39.00
WA376       0802  30     44.00
WA376       0802  31     41.00
WA376       0902   1     35.00
WA376       0902   2     32.00
WA376       0902   3     32.00
WA376       0902   4     26.00
WA376       0902   5     28.00
WA376       0902   6     24.00
WA376       0902   7     32.00
WA376       0902   8     27.00
WA376       0902   9     28.00
WA376       0902  10     30.00
WA376       0902  11     32.00
WA376       0902  12     33.00
WA376       0902  13     35.00
WA376       0902  14     33.00
WA376       0902  15     37.00
WA376       0902  16     43.00
WA376       0902  17     30.00
WA376       0902  18     29.00
WA376       0902  19     29.00
WA376       0902  20     29.00
WA376       0902  21     28.00
WA376       0902  22     26.00
WA376       0902  23     31.00
WA376       0902  24     37.00
WA376       0902  25     26.00
WA376       0902  26     36.00
WA376       0902  27     26.00
WA376       0902  28     26.00
WA376       0902  29     32.00
WA376       0902  30     27.00
WA376       1002   1     22.00
WA376       1002   2     20.00
WA376       1002   3     34.00
WA376       1002   4     30.00
WA376       1002   5     36.00
WA376       1002   6     40.00
