$ Get data for 699:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA699           Pope Ridge
WA699       0402  11     34.00
WA699       0402  12     35.00
WA699       0402  13     35.00
WA699       0402  14     26.00
WA699       0402  15     26.00
WA699       0402  16     28.00
WA699       0402  17     28.00
WA699       0402  18     26.00
WA699       0402  19     28.00
WA699       0402  20     30.00
WA699       0402  21     32.00
WA699       0402  22     29.00
WA699       0402  23     24.00
WA699       0402  24     20.00
WA699       0402  25     29.00
WA699       0402  26     28.00
WA699       0402  27     30.00
WA699       0402  28     29.00
WA699       0402  29     31.00
WA699       0402  30     37.00
WA699       0502   1     35.00
WA699       0502   2     33.00
WA699       0502   3     28.00
WA699       0502   4     27.00
WA699       0502   5     26.00
WA699       0502   6     24.00
WA699       0502   7     25.00
WA699       0502   8     24.00
WA699       0502   9     28.00
WA699       0502  10     27.00
WA699       0502  11     30.00
WA699       0502  12     37.00
WA699       0502  13     36.00
WA699       0502  14     31.00
WA699       0502  15     28.00
WA699       0502  16     31.00
WA699       0502  17     39.00
WA699       0502  18     39.00
WA699       0502  19     41.00
WA699       0502  20     38.00
WA699       0502  21     37.00
WA699       0502  22     35.00
WA699       0502  23     32.00
WA699       0502  24     31.00
WA699       0502  25     38.00
WA699       0502  26     37.00
WA699       0502  27     38.00
WA699       0502  28     45.00
WA699       0502  29     39.00
WA699       0502  30     34.00
WA699       0502  31     38.00
WA699       0602   1     40.00
WA699       0602   2     41.00
WA699       0602   3     39.00
WA699       0602   4     44.00
WA699       0602   5     44.00
WA699       0602   6     33.00
WA699       0602   7     29.00
WA699       0602   8     29.00
WA699       0602   9     39.00
WA699       0602  10     40.00
WA699       0602  11     41.00
WA699       0602  12     44.00
WA699       0602  13     47.00
WA699       0602  14     48.00
WA699       0602  15     49.00
WA699       0602  16     46.00
WA699       0602  17     44.00
WA699       0602  18     38.00
WA699       0602  19     36.00
WA699       0602  20     41.00
WA699       0602  21     46.00
WA699       0602  22     49.00
WA699       0602  23     45.00
WA699       0602  24     42.00
WA699       0602  25     49.00
WA699       0602  26     54.00
WA699       0602  27     50.00
WA699       0602  28     46.00
WA699       0602  29     40.00
WA699       0602  30     39.00
WA699       0702   1     37.00
WA699       0702   2     34.00
WA699       0702   3     41.00
WA699       0702   4     37.00
WA699       0702   5     33.00
WA699       0702   6     43.00
WA699       0702   7     51.00
WA699       0702   8     41.00
WA699       0702   9     39.00
WA699       0702  10     50.00
WA699       0702  11     58.00
WA699       0702  12     56.00
WA699       0702  13     64.00
WA699       0702  14     50.00
WA699       0702  15     47.00
WA699       0702  16     52.00
WA699       0702  17     52.00
WA699       0702  18     51.00
WA699       0702  19     48.00
WA699       0702  20     45.00
WA699       0702  21     50.00
WA699       0702  22     53.00
WA699       0702  23     56.00
WA699       0702  24     55.00
WA699       0702  25     55.00
WA699       0702  26     51.00
WA699       0702  27     47.00
WA699       0702  28     51.00
WA699       0702  29     52.00
WA699       0702  30     50.00
WA699       0702  31     37.00
WA699       0802   1     42.00
WA699       0802   2     41.00
WA699       0802   3     39.00
WA699       0802   4     39.00
WA699       0802   5     35.00
WA699       0802   6     37.00
WA699       0802   7     37.00
WA699       0802   8     42.00
WA699       0802   9     49.00
WA699       0802  10     48.00
WA699       0802  11     45.00
WA699       0802  12     49.00
WA699       0802  13     52.00
WA699       0802  14     55.00
WA699       0802  15     50.00
WA699       0802  16     49.00
WA699       0802  17     45.00
WA699       0802  18     44.00
WA699       0802  19     46.00
WA699       0802  20     45.00
WA699       0802  21     45.00
WA699       0802  22     49.00
WA699       0802  23     51.00
WA699       0802  24     53.00
WA699       0802  25     48.00
WA699       0802  26     47.00
WA699       0802  27     50.00
WA699       0802  28     53.00
WA699       0802  29     54.00
WA699       0802  30     50.00
WA699       0802  31     49.00
WA699       0902   1     45.00
WA699       0902   2     44.00
WA699       0902   3     36.00
WA699       0902   4     34.00
