$ Get data for 974:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:03 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA974           Waterhole
WA974       1201  25   -999.00
WA974       1201  26   -999.00
WA974       1201  27   -999.00
WA974       1201  28   -999.00
WA974       1201  29   -999.00
WA974       1201  30   -999.00
WA974       1201  31   -999.00
WA974       0102   1   -999.00
WA974       0102   2   -999.00
WA974       0102   3   -999.00
WA974       0102   4   -999.00
WA974       0102   5   -999.00
WA974       0102   6   -999.00
WA974       0102   7     29.00
WA974       0102   8     26.00
WA974       0102   9     24.00
WA974       0102  10   -999.00
WA974       0102  11   -999.00
WA974       0102  12   -999.00
WA974       0102  13   -999.00
WA974       0102  14   -999.00
WA974       0102  15   -999.00
WA974       0102  16   -999.00
WA974       0102  17   -999.00
WA974       0102  18   -999.00
WA974       0102  19   -999.00
WA974       0102  20   -999.00
WA974       0102  21   -999.00
WA974       0102  22   -999.00
WA974       0102  23   -999.00
WA974       0102  24   -999.00
WA974       0102  25   -999.00
WA974       0102  26   -999.00
WA974       0102  27   -999.00
WA974       0102  28   -999.00
WA974       0102  29   -999.00
WA974       0102  30   -999.00
WA974       0102  31   -999.00
WA974       0202   1   -999.00
WA974       0202   2   -999.00
WA974       0202   3   -999.00
WA974       0202   4   -999.00
WA974       0202   5   -999.00
WA974       0202   6   -999.00
WA974       0202   7   -999.00
WA974       0202   8   -999.00
WA974       0202   9   -999.00
WA974       0202  10   -999.00
WA974       0202  11   -999.00
WA974       0202  12   -999.00
WA974       0202  13   -999.00
WA974       0202  14   -999.00
WA974       0202  15   -999.00
WA974       0202  16   -999.00
WA974       0202  17   -999.00
WA974       0202  18   -999.00
WA974       0202  19   -999.00
WA974       0202  20   -999.00
WA974       0202  21   -999.00
WA974       0202  22   -999.00
WA974       0202  23   -999.00
WA974       0202  24   -999.00
WA974       0202  25   -999.00
WA974       0202  26   -999.00
WA974       0202  27   -999.00
WA974       0202  28   -999.00
WA974       0302   1   -999.00
WA974       0302   2   -999.00
WA974       0302   3   -999.00
WA974       0302   4   -999.00
WA974       0302   5   -999.00
WA974       0302   6   -999.00
WA974       0302   7   -999.00
WA974       0302   8   -999.00
WA974       0302   9   -999.00
WA974       0302  10   -999.00
WA974       0302  11   -999.00
WA974       0302  12   -999.00
WA974       0302  13   -999.00
WA974       0302  14   -999.00
WA974       0302  15   -999.00
WA974       0302  16   -999.00
WA974       0302  17   -999.00
WA974       0302  18   -999.00
WA974       0302  19   -999.00
WA974       0302  20   -999.00
WA974       0302  21   -999.00
WA974       0302  22   -999.00
WA974       0302  23   -999.00
WA974       0302  24   -999.00
WA974       0302  25   -999.00
WA974       0302  26   -999.00
WA974       0302  27   -999.00
WA974       0302  28   -999.00
WA974       0302  29   -999.00
WA974       0302  30   -999.00
WA974       0302  31   -999.00
WA974       0402   1   -999.00
WA974       0402   2   -999.00
WA974       0402   3   -999.00
WA974       0402   4   -999.00
WA974       0402   5   -999.00
WA974       0402   6   -999.00
WA974       0402   7   -999.00
WA974       0402   8   -999.00
WA974       0402   9   -999.00
WA974       0402  10   -999.00
WA974       0402  11   -999.00
WA974       0402  12   -999.00
WA974       0402  13   -999.00
WA974       0402  14   -999.00
WA974       0402  15   -999.00
WA974       0402  16   -999.00
WA974       0402  17   -999.00
WA974       0402  18   -999.00
WA974       0402  19   -999.00
WA974       0402  20   -999.00
WA974       0402  21   -999.00
WA974       0402  22   -999.00
WA974       0402  23   -999.00
WA974       0402  24   -999.00
WA974       0402  25   -999.00
WA974       0402  26   -999.00
WA974       0402  27   -999.00
WA974       0402  28   -999.00
WA974       0402  29   -999.00
WA974       0402  30   -999.00
WA974       0502   1   -999.00
WA974       0502   2   -999.00
WA974       0502   3   -999.00
WA974       0502   4   -999.00
WA974       0502   5   -999.00
WA974       0502   6   -999.00
WA974       0502   7   -999.00
WA974       0502   8   -999.00
WA974       0502   9   -999.00
WA974       0502  10   -999.00
WA974       0502  11   -999.00
WA974       0502  12   -999.00
WA974       0502  13   -999.00
WA974       0502  14   -999.00
WA974       0502  15   -999.00
WA974       0502  16   -999.00
WA974       0502  17   -999.00
WA974       0502  18   -999.00
WA974       0502  19   -999.00
WA974       0502  20   -999.00
WA974       0502  21   -999.00
WA974       0502  22   -999.00
WA974       0502  23   -999.00
WA974       0502  24   -999.00
WA974       0502  25   -999.00
WA974       0502  26   -999.00
WA974       0502  27   -999.00
WA974       0502  28   -999.00
WA974       0502  29   -999.00
WA974       0502  30   -999.00
WA974       0502  31   -999.00
WA974       0602   1   -999.00
WA974       0602   2   -999.00
WA974       0602   3   -999.00
WA974       0602   4   -999.00
WA974       0602   5   -999.00
WA974       0602   6   -999.00
WA974       0602   7   -999.00
WA974       0602   8   -999.00
WA974       0602   9   -999.00
WA974       0602  10   -999.00
WA974       0602  11   -999.00
WA974       0602  12   -999.00
WA974       0602  13   -999.00
WA974       0602  14   -999.00
WA974       0602  15   -999.00
WA974       0602  16   -999.00
WA974       0602  17   -999.00
WA974       0602  18   -999.00
WA974       0602  19   -999.00
