$ Get data for 804:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:39:56 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA804           Surprise Lakes
WA804       0901  27     31.00
WA804       0901  28     34.00
WA804       0901  29     38.00
WA804       0901  30     48.00
WA804       1001   1     46.00
WA804       1001   2     41.00
WA804       1001   3     44.00
WA804       1001   4     44.00
WA804       1001   5     39.00
WA804       1001   6     33.00
WA804       1001   7     32.00
WA804       1001   8     33.00
WA804       1001   9     28.00
WA804       1001  10     28.00
WA804       1001  11     32.00
WA804       1001  12     31.00
WA804       1001  13     34.00
WA804       1001  14     38.00
WA804       1001  15     38.00
WA804       1001  16     32.00
WA804       1001  17     28.00
WA804       1001  18     28.00
WA804       1001  19     33.00
WA804       1001  20     29.00
WA804       1001  21     33.00
WA804       1001  22     32.00
WA804       1001  23     28.00
WA804       1001  24     28.00
WA804       1001  25     32.00
WA804       1001  26     36.00
WA804       1001  27     26.00
WA804       1001  28     23.00
WA804       1001  29     31.00
WA804       1001  30     34.00
WA804       1001  31     32.00
WA804       1101   1     34.00
WA804       1101   2     35.00
WA804       1101   3     37.00
WA804       1101   4     34.00
WA804       1101   5     27.00
WA804       1101   6     24.00
WA804       1101   7     24.00
WA804       1101   8     31.00
WA804       1101   9     35.00
WA804       1101  10     35.00
WA804       1101  11     38.00
WA804       1101  12     37.00
WA804       1101  13     35.00
WA804       1101  14     39.00
WA804       1101  15     38.00
WA804       1101  16     33.00
WA804       1101  17     30.00
WA804       1101  18     31.00
WA804       1101  19     32.00
WA804       1101  20     32.00
WA804       1101  21     29.00
WA804       1101  22     29.00
WA804       1101  23     28.00
WA804       1101  24     26.00
WA804       1101  25     26.00
WA804       1101  26     20.00
WA804       1101  27     18.00
WA804       1101  28     22.00
WA804       1101  29     25.00
WA804       1101  30     26.00
WA804       1201   1     25.00
WA804       1201   2     28.00
WA804       1201   3     23.00
WA804       1201   4     23.00
WA804       1201   5     23.00
WA804       1201   6     28.00
WA804       1201   7     23.00
WA804       1201   8     27.00
WA804       1201   9     22.00
WA804       1201  10     23.00
WA804       1201  11     24.00
WA804       1201  12     25.00
WA804       1201  13     29.00
WA804       1201  14     21.00
WA804       1201  15     24.00
WA804       1201  16     31.00
WA804       1201  17     19.00
WA804       1201  18     23.00
WA804       1201  19     27.00
WA804       1201  20     24.00
WA804       1201  21     20.00
WA804       1201  22     20.00
WA804       1201  23     25.00
WA804       1201  24     22.00
WA804       1201  25     19.00
WA804       1201  26     18.00
WA804       1201  27     19.00
WA804       1201  28     21.00
WA804       1201  29     20.00
WA804       1201  30     24.00
WA804       1201  31     26.00
WA804       0102   1     27.00
WA804       0102   2     29.00
WA804       0102   3     30.00
WA804       0102   4     27.00
WA804       0102   5     28.00
WA804       0102   6     31.00
WA804       0102   7     37.00
WA804       0102   8     33.00
WA804       0102   9     27.00
WA804       0102  10     30.00
WA804       0102  11     30.00
WA804       0102  12     24.00
WA804       0102  13     21.00
WA804       0102  14     16.00
WA804       0102  15     14.00
WA804       0102  16     17.00
WA804       0102  17     17.00
WA804       0102  18     23.00
WA804       0102  19     24.00
WA804       0102  20     24.00
WA804       0102  21     20.00
WA804       0102  22     21.00
WA804       0102  23     22.00
WA804       0102  24     28.00
WA804       0102  25     23.00
WA804       0102  26     18.00
WA804       0102  27     17.00
WA804       0102  28     10.00
WA804       0102  29      9.00
WA804       0102  30     20.00
WA804       0102  31     25.00
WA804       0202   1     20.00
WA804       0202   2     19.00
WA804       0202   3     21.00
WA804       0202   4     20.00
WA804       0202   5     23.00
WA804       0202   6     29.00
WA804       0202   7     24.00
WA804       0202   8     23.00
WA804       0202   9     20.00
WA804       0202  10     26.00
WA804       0202  11     17.00
WA804       0202  12     21.00
WA804       0202  13     15.00
WA804       0202  14     18.00
WA804       0202  15     27.00
WA804       0202  16     26.00
WA804       0202  17     26.00
WA804       0202  18     31.00
WA804       0202  19     28.00
WA804       0202  20     22.00
WA804       0202  21     32.00
WA804       0202  22     35.00
WA804       0202  23     25.00
WA804       0202  24     18.00
WA804       0202  25     15.00
WA804       0202  26     17.00
WA804       0202  27     20.00
WA804       0202  28     15.00
WA804       0302   1     15.00
WA804       0302   2     19.00
WA804       0302   3     23.00
WA804       0302   4     28.00
WA804       0302   5     29.00
WA804       0302   6     19.00
WA804       0302   7      9.00
WA804       0302   8     15.00
WA804       0302   9     19.00
WA804       0302  10     28.00
WA804       0302  11     29.00
WA804       0302  12     26.00
WA804       0302  13     25.00
WA804       0302  14     22.00
WA804       0302  15     20.00
WA804       0302  16     18.00
WA804       0302  17     14.00
WA804       0302  18     17.00
WA804       0302  19     24.00
WA804       0302  20     20.00
WA804       0302  21     17.00
WA804       0302  22     20.00
WA804       0302  23     29.00
WA804       0302  24     31.00
WA804       0302  25     27.00
WA804       0302  26     27.00
WA804       0302  27     23.00
WA804       0302  28     28.00
WA804       0302  29     26.00
WA804       0302  30     28.00
WA804       0302  31     28.00
WA804       0402   1     26.00
WA804       0402   2     29.00
WA804       0402   3     29.00
WA804       0402   4     29.00
WA804       0402   5     33.00
WA804       0402   6     31.00
WA804       0402   7     28.00
WA804       0402   8     24.00
WA804       0402   9     33.00
WA804       0402  10     32.00
WA804       0402  11     33.00
WA804       0402  12     35.00
WA804       0402  13     39.00
WA804       0402  14     24.00
WA804       0402  15     25.00
WA804       0402  16     24.00
WA804       0402  17     25.00
WA804       0402  18     28.00
WA804       0402  19     25.00
WA804       0402  20     29.00
WA804       0402  21     29.00
WA804       0402  22     23.00
WA804       0402  23     22.00
WA804       0402  24     24.00
WA804       0402  25     27.00
WA804       0402  26     27.00
WA804       0402  27     28.00
WA804       0402  28     27.00
WA804       0402  29     28.00
WA804       0402  30     35.00
WA804       0502   1     35.00
WA804       0502   2     27.00
WA804       0502   3     25.00
WA804       0502   4     26.00
WA804       0502   5     25.00
WA804       0502   6     23.00
WA804       0502   7     20.00
WA804       0502   8     22.00
WA804       0502   9     28.00
WA804       0502  10     26.00
WA804       0502  11     27.00
WA804       0502  12     41.00
WA804       0502  13     32.00
WA804       0502  14     30.00
WA804       0502  15     28.00
WA804       0502  16     26.00
WA804       0502  17     34.00
WA804       0502  18     36.00
WA804       0502  19     35.00
WA804       0502  20     34.00
WA804       0502  21     34.00
WA804       0502  22     32.00
WA804       0502  23     33.00
WA804       0502  24     32.00
WA804       0502  25     40.00
WA804       0502  26     40.00
WA804       0502  27     40.00
WA804       0502  28     41.00
WA804       0502  29     39.00
WA804       0502  30     33.00
WA804       0502  31     34.00
WA804       0602   1     36.00
WA804       0602   2     34.00
WA804       0602   3     35.00
WA804       0602   4     40.00
WA804       0602   5     34.00
WA804       0602   6     31.00
WA804       0602   7     29.00
WA804       0602   8     30.00
WA804       0602   9     35.00
WA804       0602  10     40.00
WA804       0602  11     39.00
WA804       0602  12     46.00
WA804       0602  13     52.00
WA804       0602  14     47.00
WA804       0602  15     45.00
WA804       0602  16     39.00
WA804       0602  17     38.00
WA804       0602  18     36.00
WA804       0602  19     33.00
WA804       0602  20     40.00
WA804       0602  21     47.00
WA804       0602  22     47.00
WA804       0602  23     44.00
WA804       0602  24     41.00
WA804       0602  25     47.00
WA804       0602  26     52.00
WA804       0602  27     45.00
WA804       0602  28     41.00
WA804       0602  29     41.00
WA804       0602  30     41.00
WA804       0702   1     34.00
WA804       0702   2     36.00
WA804       0702   3     39.00
WA804       0702   4     36.00
WA804       0702   5     33.00
WA804       0702   6     44.00
WA804       0702   7     48.00
WA804       0702   8     41.00
WA804       0702   9     45.00
WA804       0702  10     60.00
WA804       0702  11     56.00
WA804       0702  12     56.00
WA804       0702  13     49.00
WA804       0702  14     44.00
WA804       0702  15     42.00
WA804       0702  16     47.00
WA804       0702  17     50.00
WA804       0702  18     50.00
WA804       0702  19     45.00
WA804       0702  20     42.00
WA804       0702  21     50.00
WA804       0702  22     59.00
WA804       0702  23     56.00
WA804       0702  24     55.00
WA804       0702  25     52.00
WA804       0702  26     45.00
WA804       0702  27     41.00
WA804       0702  28     43.00
WA804       0702  29     46.00
WA804       0702  30     37.00
WA804       0702  31     31.00
WA804       0802   1     40.00
WA804       0802   2     33.00
WA804       0802   3     38.00
WA804       0802   4     38.00
WA804       0802   5     35.00
WA804       0802   6     34.00
WA804       0802   7     36.00
WA804       0802   8     39.00
WA804       0802   9     46.00
WA804       0802  10     44.00
WA804       0802  11     40.00
WA804       0802  12     49.00
WA804       0802  13     58.00
WA804       0802  14     52.00
WA804       0802  15     50.00
WA804       0802  16     45.00
WA804       0802  17     42.00
WA804       0802  18     39.00
WA804       0802  19     44.00
WA804       0802  20     43.00
WA804       0802  21     42.00
WA804       0802  22     46.00
WA804       0802  23     50.00
WA804       0802  24     50.00
WA804       0802  25     48.00
WA804       0802  26     45.00
WA804       0802  27     45.00
WA804       0802  28     54.00
WA804       0802  29     47.00
WA804       0802  30     41.00
WA804       0802  31     42.00
WA804       0902   1     44.00
WA804       0902   2     44.00
WA804       0902   3     35.00
WA804       0902   4     34.00
WA804       0902   5     34.00
WA804       0902   6     34.00
WA804       0902   7     34.00
WA804       0902   8     33.00
WA804       0902   9     41.00
WA804       0902  10     50.00
WA804       0902  11     49.00
WA804       0902  12     50.00
WA804       0902  13     49.00
WA804       0902  14     50.00
WA804       0902  15     44.00
WA804       0902  16     40.00
WA804       0902  17     34.00
WA804       0902  18     33.00
WA804       0902  19     40.00
WA804       0902  20     35.00
WA804       0902  21     42.00
WA804       0902  22     46.00
WA804       0902  23     48.00
WA804       0902  24     49.00
WA804       0902  25     46.00
WA804       0902  26     40.00
WA804       0902  27     38.00
WA804       0902  28     39.00
WA804       0902  29   -999.00
WA804       0902  30     29.00
WA804       1002   1     27.00
WA804       1002   2     30.00
WA804       1002   3     40.00
WA804       1002   4     38.00
WA804       1002   5     38.00
WA804       1002   6     39.00
WA804       1002   7     39.00
WA804       1002   8     36.00
WA804       1002   9     35.00
WA804       1002  10     28.00
WA804       1002  11     26.00
WA804       1002  12     33.00
