$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
WA420       0801   2     48.00
WA420       0801   3     49.00
WA420       0801   4     45.00
WA420       0801   5     46.00
WA420       0801   6     51.00
WA420       0801   7     47.00
WA420       0801   8     47.00
WA420       0801   9     60.00
WA420       0801  10     56.00
WA420       0801  11     53.00
WA420       0801  12     54.00
WA420       0801  13     55.00
WA420       0801  14     51.00
WA420       0801  15     52.00
WA420       0801  16     47.00
WA420       0801  17     46.00
WA420       0801  18     46.00
WA420       0801  19     41.00
WA420       0801  20     42.00
WA420       0801  21     44.00
WA420       0801  22     48.00
WA420       0801  23     42.00
WA420       0801  24     45.00
WA420       0801  25     45.00
WA420       0801  26     51.00
WA420       0801  27     47.00
WA420       0801  28     49.00
WA420       0801  29     50.00
WA420       0801  30     51.00
WA420       0801  31     49.00
WA420       0901   1     43.00
WA420       0901   2     42.00
WA420       0901   3     46.00
WA420       0901   4     44.00
WA420       0901   5     40.00
WA420       0901   6     39.00
WA420       0901   7     44.00
WA420       0901   8     42.00
WA420       0901   9     46.00
WA420       0901  10     44.00
WA420       0901  11     47.00
WA420       0901  12     49.00
WA420       0901  13     50.00
WA420       0901  14     51.00
WA420       0901  15     50.00
WA420       0901  16     46.00
WA420       0901  17     40.00
WA420       0901  18     40.00
WA420       0901  19     41.00
WA420       0901  20     37.00
WA420       0901  21     45.00
WA420       0901  22     48.00
WA420       0901  23     55.00
WA420       0901  24     52.00
WA420       0901  25     47.00
WA420       0901  26     36.00
WA420       0901  27     34.00
WA420       0901  28     36.00
WA420       0901  29     42.00
WA420       0901  30     56.00
WA420       1001   1     42.00
WA420       1001   2     41.00
WA420       1001   3     40.00
WA420       1001   4     51.00
WA420       1001   5     40.00
WA420       1001   6     37.00
WA420       1001   7     37.00
WA420       1001   8     33.00
WA420       1001   9     34.00
WA420       1001  10     33.00
WA420       1001  11     32.00
WA420       1001  12     34.00
WA420       1001  13     36.00
WA420       1001  14     42.00
WA420       1001  15     44.00
WA420       1001  16     35.00
WA420       1001  17     32.00
WA420       1001  18     31.00
WA420       1001  19     35.00
WA420       1001  20     32.00
WA420       1001  21     35.00
WA420       1001  22     34.00
WA420       1001  23     31.00
WA420       1001  24     31.00
WA420       1001  25     34.00
WA420       1001  26     41.00
WA420       1001  27     27.00
WA420       1001  28     25.00
WA420       1001  29     36.00
WA420       1001  30     38.00
WA420       1001  31     32.00
WA420       1101   1     37.00
WA420       1101   2     38.00
WA420       1101   3     39.00
WA420       1101   4     35.00
WA420       1101   5     30.00
WA420       1101   6     29.00
WA420       1101   7     29.00
WA420       1101   8     37.00
WA420       1101   9     41.00
WA420       1101  10     41.00
WA420       1101  11     43.00
WA420       1101  12     40.00
WA420       1101  13     40.00
WA420       1101  14     44.00
WA420       1101  15     38.00
WA420       1101  16     34.00
WA420       1101  17     29.00
WA420       1101  18     37.00
WA420       1101  19     36.00
WA420       1101  20     34.00
WA420       1101  21     33.00
WA420       1101  22     32.00
WA420       1101  23     29.00
WA420       1101  24     31.00
WA420       1101  25     29.00
WA420       1101  26     28.00
WA420       1101  27     28.00
WA420       1101  28     24.00
WA420       1101  29     26.00
WA420       1101  30     27.00
WA420       1201   1     31.00
WA420       1201   2     28.00
WA420       1201   3     25.00
WA420       1201   4     26.00
WA420       1201   5     25.00
WA420       1201   6     29.00
WA420       1201   7     30.00
WA420       1201   8     30.00
WA420       1201   9     26.00
WA420       1201  10     26.00
WA420       1201  11     26.00
WA420       1201  12     25.00
WA420       1201  13     31.00
WA420       1201  14     25.00
WA420       1201  15     27.00
WA420       1201  16     31.00
WA420       1201  17     22.00
WA420       1201  18     24.00
WA420       1201  19     26.00
WA420       1201  20     29.00
WA420       1201  21     28.00
WA420       1201  22     26.00
WA420       1201  23     30.00
WA420       1201  24     28.00
WA420       1201  25     26.00
WA420       1201  26     24.00
WA420       1201  27     28.00
WA420       1201  28     25.00
WA420       1201  29     30.00
WA420       1201  30     33.00
WA420       1201  31     31.00
WA420       0102   1     31.00
WA420       0102   2     30.00
WA420       0102   3     29.00
WA420       0102   4     32.00
WA420       0102   5     32.00
WA420       0102   6     31.00
WA420       0102   7     39.00
WA420       0102   8     35.00
WA420       0102   9     32.00
WA420       0102  10     33.00
WA420       0102  11     36.00
WA420       0102  12     28.00
WA420       0102  13     25.00
WA420       0102  14     22.00
WA420       0102  15     20.00
WA420       0102  16     24.00
WA420       0102  17     24.00
WA420       0102  18     22.00
WA420       0102  19     27.00
WA420       0102  20     28.00
WA420       0102  21     24.00
WA420       0102  22     24.00
WA420       0102  23     25.00
WA420       0102  24     32.00
WA420       0102  25     25.00
WA420       0102  26     20.00
WA420       0102  27     18.00
WA420       0102  28     18.00
WA420       0102  29     18.00
WA420       0102  30     24.00
WA420       0102  31     29.00
WA420       0202   1     26.00
WA420       0202   2     25.00
WA420       0202   3     26.00
WA420       0202   4     26.00
WA420       0202   5     29.00
WA420       0202   6     31.00
WA420       0202   7     27.00
WA420       0202   8     27.00
WA420       0202   9     26.00
WA420       0202  10     27.00
WA420       0202  11     21.00
WA420       0202  12     28.00
WA420       0202  13     24.00
WA420       0202  14     25.00
WA420       0202  15     34.00
WA420       0202  16     30.00
WA420       0202  17     29.00
WA420       0202  18     32.00
WA420       0202  19     30.00
WA420       0202  20     27.00
WA420       0202  21     32.00
WA420       0202  22     36.00
WA420       0202  23     28.00
WA420       0202  24     20.00
WA420       0202  25     22.00
WA420       0202  26     22.00
WA420       0202  27     24.00
WA420       0202  28     21.00
WA420       0302   1     20.00
WA420       0302   2     25.00
WA420       0302   3     28.00
WA420       0302   4     32.00
WA420       0302   5     27.00
WA420       0302   6     20.00
WA420       0302   7     17.00
WA420       0302   8     18.00
WA420       0302   9     23.00
WA420       0302  10     27.00
WA420       0302  11     31.00
WA420       0302  12     29.00
WA420       0302  13     28.00
WA420       0302  14     27.00
WA420       0302  15     23.00
WA420       0302  16     21.00
WA420       0302  17     20.00
WA420       0302  18     20.00
WA420       0302  19     28.00
WA420       0302  20     23.00
WA420       0302  21     21.00
WA420       0302  22     32.00
WA420       0302  23     31.00
WA420       0302  24     34.00
WA420       0302  25     32.00
WA420       0302  26     28.00
WA420       0302  27     27.00
WA420       0302  28     30.00
WA420       0302  29     29.00
WA420       0302  30     31.00
WA420       0302  31     32.00
WA420       0402   1     29.00
WA420       0402   2     28.00
WA420       0402   3     30.00
WA420       0402   4     35.00
WA420       0402   5     35.00
WA420       0402   6     34.00
WA420       0402   7     30.00
WA420       0402   8     28.00
WA420       0402   9     35.00
WA420       0402  10     33.00
WA420       0402  11     34.00
WA420       0402  12     38.00
WA420       0402  13     41.00
WA420       0402  14     27.00
WA420       0402  15     28.00
WA420       0402  16     27.00
WA420       0402  17     29.00
WA420       0402  18     31.00
WA420       0402  19     30.00
WA420       0402  20     33.00
