$ Get data for 898:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA898           Mount Gardner
WA898       0502  24     34.00
WA898       0502  25     43.00
WA898       0502  26     44.00
WA898       0502  27     44.00
WA898       0502  28     46.00
WA898       0502  29     44.00
WA898       0502  30     40.00
WA898       0502  31     39.00
WA898       0602   1     39.00
WA898       0602   2     38.00
WA898       0602   3     40.00
WA898       0602   4     47.00
WA898       0602   5     41.00
WA898       0602   6     34.00
WA898       0602   7     33.00
WA898       0602   8     33.00
WA898       0602   9     39.00
WA898       0602  10     44.00
WA898       0602  11     44.00
WA898       0602  12     49.00
WA898       0602  13     55.00
WA898       0602  14     48.00
WA898       0602  15     46.00
WA898       0602  16     46.00
WA898       0602  17     43.00
WA898       0602  18     41.00
WA898       0602  19     40.00
WA898       0602  20     43.00
WA898       0602  21     51.00
WA898       0602  22     51.00
WA898       0602  23     49.00
WA898       0602  24     48.00
WA898       0602  25     49.00
WA898       0602  26     57.00
WA898       0602  27     47.00
WA898       0602  28     46.00
WA898       0602  29     45.00
WA898       0602  30     44.00
WA898       0702   1     41.00
WA898       0702   2     39.00
WA898       0702   3     42.00
WA898       0702   4     41.00
WA898       0702   5     38.00
WA898       0702   6     47.00
WA898       0702   7     53.00
WA898       0702   8     45.00
WA898       0702   9     44.00
WA898       0702  10     61.00
WA898       0702  11     56.00
WA898       0702  12     53.00
WA898       0702  13     55.00
WA898       0702  14     46.00
WA898       0702  15     45.00
WA898       0702  16     49.00
WA898       0702  17     53.00
WA898       0702  18     53.00
WA898       0702  19     50.00
WA898       0702  20     46.00
WA898       0702  21     50.00
WA898       0702  22     60.00
WA898       0702  23     59.00
WA898       0702  24     57.00
WA898       0702  25     54.00
WA898       0702  26     51.00
WA898       0702  27     48.00
WA898       0702  28     47.00
WA898       0702  29     50.00
WA898       0702  30     46.00
WA898       0702  31     41.00
WA898       0802   1     44.00
WA898       0802   2     42.00
WA898       0802   3     40.00
WA898       0802   4     43.00
WA898       0802   5     40.00
WA898       0802   6     42.00
WA898       0802   7     42.00
WA898       0802   8     44.00
WA898       0802   9     49.00
WA898       0802  10     51.00
WA898       0802  11     49.00
WA898       0802  12     49.00
WA898       0802  13     60.00
WA898       0802  14     56.00
WA898       0802  15     53.00
WA898       0802  16     48.00
WA898       0802  17     48.00
WA898       0802  18     45.00
WA898       0802  19     47.00
WA898       0802  20     47.00
WA898       0802  21     47.00
WA898       0802  22     48.00
WA898       0802  23     52.00
WA898       0802  24     53.00
WA898       0802  25     52.00
WA898       0802  26     50.00
