$ Get data for 942:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:39 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA942           Burnt Mountain
WA942       0702  27     44.00
WA942       0702  28     48.00
WA942       0702  29     45.00
WA942       0702  30     36.00
WA942       0702  31     36.00
WA942       0802   1     40.00
WA942       0802   2     36.00
WA942       0802   3     40.00
WA942       0802   4     39.00
WA942       0802   5     37.00
WA942       0802   6     39.00
WA942       0802   7     40.00
WA942       0802   8     42.00
WA942       0802   9     50.00
WA942       0802  10     47.00
WA942       0802  11     47.00
WA942       0802  12     51.00
WA942       0802  13     62.00
WA942       0802  14     57.00
WA942       0802  15     52.00
WA942       0802  16     50.00
WA942       0802  17     48.00
WA942       0802  18     47.00
WA942       0802  19     45.00
WA942       0802  20     43.00
WA942       0802  21     43.00
WA942       0802  22     44.00
WA942       0802  23     54.00
WA942       0802  24     54.00
WA942       0802  25     49.00
WA942       0802  26     48.00
WA942       0802  27     48.00
WA942       0802  28     62.00
WA942       0802  29     46.00
WA942       0802  30     41.00
WA942       0802  31     46.00
WA942       0902   1     46.00
WA942       0902   2     42.00
WA942       0902   3     35.00
WA942       0902   4     38.00
WA942       0902   5     38.00
WA942       0902   6     39.00
WA942       0902   7     38.00
WA942       0902   8     36.00
WA942       0902   9     45.00
WA942       0902  10     50.00
WA942       0902  11     50.00
WA942       0902  12     55.00
WA942       0902  13     54.00
WA942       0902  14     53.00
WA942       0902  15     44.00
WA942       0902  16     39.00
WA942       0902  17     37.00
WA942       0902  18     38.00
WA942       0902  19     40.00
WA942       0902  20     37.00
WA942       0902  21     39.00
WA942       0902  22     54.00
WA942       0902  23     51.00
WA942       0902  24     49.00
WA942       0902  25     50.00
WA942       0902  26     43.00
WA942       0902  27     41.00
WA942       0902  28     43.00
WA942       0902  29     33.00
WA942       0902  30     30.00
WA942       1002   1     30.00
WA942       1002   2     34.00
WA942       1002   3     41.00
WA942       1002   4     37.00
WA942       1002   5     38.00
WA942       1002   6     43.00
WA942       1002   7     42.00
