$ Get data for 642:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA642           Morse Lake
WA642       1201  23     14.00
WA642       1201  24     16.00
WA642       1201  25     13.00
WA642       1201  26      9.00
WA642       1201  27     14.00
WA642       1201  28     18.00
WA642       1201  29     15.00
WA642       1201  30     20.00
WA642       1201  31     22.00
WA642       0102   1     22.00
WA642       0102   2     24.00
WA642       0102   3     21.00
WA642       0102   4     18.00
WA642       0102   5     22.00
WA642       0102   6     27.00
WA642       0102   7     33.00
WA642       0102   8     28.00
WA642       0102   9     20.00
WA642       0102  10     23.00
WA642       0102  11     26.00
WA642       0102  12     19.00
WA642       0102  13     13.00
WA642       0102  14     10.00
WA642       0102  15     15.00
WA642       0102  16     11.00
WA642       0102  17     10.00
WA642       0102  18     11.00
WA642       0102  19     19.00
WA642       0102  20     21.00
WA642       0102  21     11.00
WA642       0102  22     13.00
WA642       0102  23     17.00
WA642       0102  24     26.00
WA642       0102  25     19.00
WA642       0102  26     13.00
WA642       0102  27      6.00
WA642       0102  28      3.00
WA642       0102  29      2.00
WA642       0102  30     17.00
WA642       0102  31     20.00
WA642       0202   1     15.00
WA642       0202   2     13.00
WA642       0202   3     12.00
WA642       0202   4     13.00
WA642       0202   5     20.00
WA642       0202   6     25.00
WA642       0202   7     22.00
WA642       0202   8     16.00
WA642       0202   9     13.00
WA642       0202  10     20.00
WA642       0202  11     10.00
WA642       0202  12      8.00
WA642       0202  13     14.00
WA642       0202  14     16.00
WA642       0202  15     15.00
WA642       0202  16     16.00
WA642       0202  17     21.00
WA642       0202  18     23.00
WA642       0202  19     15.00
WA642       0202  20      9.00
WA642       0202  21     29.00
WA642       0202  22     31.00
WA642       0202  23     23.00
WA642       0202  24      5.00
WA642       0202  25      1.00
WA642       0202  26      6.00
WA642       0202  27     11.00
WA642       0202  28      9.00
WA642       0302   1     10.00
WA642       0302   2      9.00
WA642       0302   3     15.00
WA642       0302   4     25.00
WA642       0302   5     23.00
WA642       0302   6     15.00
WA642       0302   7      1.00
WA642       0302   8      9.00
WA642       0302   9     11.00
WA642       0302  10     22.00
WA642       0302  11     23.00
WA642       0302  12     22.00
WA642       0302  13     19.00
WA642       0302  14     18.00
WA642       0302  15     15.00
WA642       0302  16     11.00
WA642       0302  17     11.00
WA642       0302  18      9.00
WA642       0302  19     24.00
WA642       0302  20     14.00
WA642       0302  21     11.00
