$ Get data for 908:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:42:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA908           Alpine Meadows
WA908       0702   9     41.00
WA908       0702  10     57.00
WA908       0702  11     54.00
WA908       0702  12     53.00
WA908       0702  13     50.00
WA908       0702  14     42.00
WA908       0702  15     43.00
WA908       0702  16     48.00
WA908       0702  17     50.00
WA908       0702  18     50.00
WA908       0702  19     46.00
WA908       0702  20     45.00
WA908       0702  21     49.00
WA908       0702  22     60.00
WA908       0702  23     58.00
WA908       0702  24     56.00
WA908       0702  25     52.00
WA908       0702  26     48.00
WA908       0702  27     44.00
WA908       0702  28     47.00
WA908       0702  29     47.00
WA908       0702  30     41.00
WA908       0702  31     41.00
WA908       0802   1     44.00
WA908       0802   2     42.00
WA908       0802   3     41.00
WA908       0802   4     42.00
WA908       0802   5     41.00
WA908       0802   6     41.00
WA908       0802   7     41.00
WA908       0802   8     43.00
WA908       0802   9     48.00
WA908       0802  10     48.00
WA908       0802  11     47.00
WA908       0802  12     50.00
WA908       0802  13     60.00
WA908       0802  14     54.00
WA908       0802  15     53.00
WA908       0802  16     47.00
WA908       0802  17     48.00
WA908       0802  18     45.00
WA908       0802  19     46.00
WA908       0802  20     46.00
WA908       0802  21     46.00
WA908       0802  22     47.00
WA908       0802  23     52.00
WA908       0802  24     53.00
WA908       0802  25     50.00
WA908       0802  26     48.00
WA908       0802  27     49.00
WA908       0802  28     58.00
WA908       0802  29     46.00
WA908       0802  30     44.00
WA908       0802  31   -999.00
WA908       0902   1   -999.00
WA908       0902   2   -999.00
WA908       0902   3   -999.00
WA908       0902   4   -999.00
WA908       0902   5   -999.00
WA908       0902   6   -999.00
WA908       0902   7   -999.00
WA908       0902   8   -999.00
WA908       0902   9   -999.00
WA908       0902  10   -999.00
WA908       0902  11   -999.00
WA908       0902  12   -999.00
WA908       0902  13   -999.00
WA908       0902  14   -999.00
WA908       0902  15   -999.00
WA908       0902  16   -999.00
WA908       0902  17   -999.00
WA908       0902  18   -999.00
WA908       0902  19   -999.00
WA908       0902  20   -999.00
WA908       0902  21   -999.00
WA908       0902  22   -999.00
WA908       0902  23   -999.00
WA908       0902  24   -999.00
WA908       0902  25     48.00
WA908       0902  26     44.00
WA908       0902  27     41.00
WA908       0902  28     44.00
WA908       0902  29     35.00
WA908       0902  30     33.00
WA908       1002   1     32.00
WA908       1002   2     35.00
WA908       1002   3     40.00
WA908       1002   4     41.00
WA908       1002   5     38.00
WA908       1002   6     43.00
WA908       1002   7     40.00
WA908       1002   8     40.00
WA908       1002   9     37.00
