$ Get data for 681:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:29:38 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA681           Park Creek Ridge
WA681       0602  12     49.00
WA681       0602  13     50.00
WA681       0602  14     54.00
WA681       0602  15     52.00
WA681       0602  16     42.00
WA681       0602  17     41.00
WA681       0602  18     36.00
WA681       0602  19     38.00
WA681       0602  20     44.00
WA681       0602  21     51.00
WA681       0602  22     53.00
WA681       0602  23     47.00
WA681       0602  24     43.00
WA681       0602  25     51.00
WA681       0602  26     59.00
WA681       0602  27     45.00
WA681       0602  28     42.00
WA681       0602  29     41.00
WA681       0602  30     39.00
WA681       0702   1     37.00
WA681       0702   2     36.00
WA681       0702   3     39.00
WA681       0702   4     35.00
WA681       0702   5     34.00
WA681       0702   6     48.00
WA681       0702   7     47.00
WA681       0702   8     42.00
WA681       0702   9     42.00
WA681       0702  10     55.00
WA681       0702  11     63.00
WA681       0702  12     61.00
WA681       0702  13     57.00
WA681       0702  14     50.00
WA681       0702  15     49.00
WA681       0702  16     54.00
WA681       0702  17     53.00
WA681       0702  18     51.00
WA681       0702  19     48.00
WA681       0702  20     45.00
WA681       0702  21     54.00
WA681       0702  22     59.00
WA681       0702  23     62.00
WA681       0702  24     60.00
WA681       0702  25     54.00
WA681       0702  26     49.00
WA681       0702  27     47.00
WA681       0702  28     48.00
WA681       0702  29     46.00
WA681       0702  30     42.00
WA681       0702  31     38.00
WA681       0802   1     45.00
WA681       0802   2     41.00
WA681       0802   3     40.00
WA681       0802   4     41.00
WA681       0802   5     38.00
WA681       0802   6     40.00
WA681       0802   7     40.00
WA681       0802   8     44.00
WA681       0802   9     50.00
WA681       0802  10     50.00
WA681       0802  11     48.00
WA681       0802  12     52.00
WA681       0802  13     60.00
WA681       0802  14     57.00
WA681       0802  15     54.00
WA681       0802  16     50.00
WA681       0802  17     50.00
WA681       0802  18     48.00
WA681       0802  19     47.00
WA681       0802  20     46.00
WA681       0802  21     45.00
WA681       0802  22     51.00
WA681       0802  23     57.00
WA681       0802  24     56.00
WA681       0802  25     51.00
WA681       0802  26     48.00
WA681       0802  27     54.00
WA681       0802  28     60.00
WA681       0802  29     54.00
WA681       0802  30     51.00
WA681       0802  31     50.00
WA681       0902   1     46.00
WA681       0902   2     45.00
WA681       0902   3     37.00
WA681       0902   4     36.00
WA681       0902   5     40.00
WA681       0902   6     36.00
WA681       0902   7     36.00
WA681       0902   8     37.00
WA681       0902   9     44.00
WA681       0902  10     48.00
WA681       0902  11     52.00
WA681       0902  12     54.00
WA681       0902  13     52.00
WA681       0902  14     57.00
WA681       0902  15     46.00
WA681       0902  16     41.00
WA681       0902  17     38.00
WA681       0902  18     39.00
WA681       0902  19     39.00
WA681       0902  20     35.00
WA681       0902  21     38.00
WA681       0902  22     45.00
WA681       0902  23     49.00
WA681       0902  24     47.00
WA681       0902  25     43.00
WA681       0902  26     44.00
WA681       0902  27     43.00
WA681       0902  28     44.00
WA681       0902  29   -999.00
WA681       0902  30     31.00
WA681       1002   1     31.00
WA681       1002   2     35.00
WA681       1002   3     41.00
WA681       1002   4     39.00
WA681       1002   5     40.00
WA681       1002   6     39.00
WA681       1002   7     39.00
WA681       1002   8     38.00
WA681       1002   9     36.00
WA681       1002  10     28.00
WA681       1002  11     27.00
