$ Get data for 630:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:26 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA630           Miners Ridge
WA630       0901  13     52.00
WA630       0901  14     54.00
WA630       0901  15     48.00
WA630       0901  16     45.00
WA630       0901  17     37.00
WA630       0901  18     33.00
WA630       0901  19     34.00
WA630       0901  20     38.00
WA630       0901  21     36.00
WA630       0901  22     44.00
WA630       0901  23     51.00
WA630       0901  24     52.00
WA630       0901  25     39.00
WA630       0901  26     27.00
WA630       0901  27     27.00
WA630       0901  28     30.00
WA630       0901  29     37.00
WA630       0901  30     42.00
WA630       1001   1     39.00
WA630       1001   2     37.00
WA630       1001   3     39.00
WA630       1001   4     37.00
WA630       1001   5     34.00
WA630       1001   6     28.00
WA630       1001   7     28.00
WA630       1001   8     27.00
WA630       1001   9     24.00
WA630       1001  10     27.00
WA630       1001  11     25.00
WA630       1001  12     25.00
WA630       1001  13     27.00
WA630       1001  14     31.00
WA630       1001  15     28.00
WA630       1001  16     24.00
WA630       1001  17     22.00
WA630       1001  18     22.00
WA630       1001  19     26.00
WA630       1001  20     23.00
WA630       1001  21     28.00
WA630       1001  22     26.00
WA630       1001  23     21.00
WA630       1001  24     21.00
WA630       1001  25     26.00
WA630       1001  26     29.00
WA630       1001  27     17.00
WA630       1001  28     15.00
WA630       1001  29     22.00
WA630       1001  30     31.00
WA630       1001  31     26.00
WA630       1101   1     26.00
WA630       1101   2     29.00
WA630       1101   3     35.00
WA630       1101   4     31.00
WA630       1101   5     19.00
WA630       1101   6     18.00
WA630       1101   7     18.00
WA630       1101   8     24.00
WA630       1101   9     38.00
WA630       1101  10     38.00
WA630       1101  11     35.00
WA630       1101  12     33.00
WA630       1101  13     30.00
WA630       1101  14     32.00
WA630       1101  15     29.00
WA630       1101  16     27.00
WA630       1101  17     20.00
WA630       1101  18     21.00
WA630       1101  19     26.00
WA630       1101  20     28.00
WA630       1101  21     26.00
