$ Get data for 702:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:50 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA702           Potato Hill
WA702       0402  11     34.00
WA702       0402  12     37.00
WA702       0402  13     40.00
WA702       0402  14     27.00
WA702       0402  15     27.00
WA702       0402  16     26.00
WA702       0402  17     27.00
WA702       0402  18     30.00
WA702       0402  19     29.00
WA702       0402  20     32.00
WA702       0402  21     33.00
WA702       0402  22     26.00
WA702       0402  23     21.00
WA702       0402  24     20.00
WA702       0402  25     25.00
WA702       0402  26     29.00
WA702       0402  27     32.00
WA702       0402  28     29.00
WA702       0402  29     26.00
WA702       0402  30     31.00
WA702       0502   1     35.00
WA702       0502   2     29.00
WA702       0502   3     27.00
WA702       0502   4     28.00
WA702       0502   5     26.00
WA702       0502   6     25.00
WA702       0502   7     24.00
WA702       0502   8     27.00
WA702       0502   9     29.00
WA702       0502  10     28.00
WA702       0502  11     26.00
WA702       0502  12     34.00
WA702       0502  13     33.00
WA702       0502  14     32.00
WA702       0502  15     28.00
WA702       0502  16     25.00
WA702       0502  17     37.00
WA702       0502  18     36.00
WA702       0502  19     36.00
WA702       0502  20     36.00
WA702       0502  21     35.00
WA702       0502  22     34.00
WA702       0502  23     30.00
WA702       0502  24     29.00
WA702       0502  25     34.00
WA702       0502  26     35.00
WA702       0502  27     35.00
WA702       0502  28     42.00
WA702       0502  29     41.00
WA702       0502  30     32.00
WA702       0502  31     35.00
WA702       0602   1     34.00
WA702       0602   2     33.00
WA702       0602   3     31.00
WA702       0602   4     43.00
WA702       0602   5     38.00
WA702       0602   6     32.00
WA702       0602   7     31.00
WA702       0602   8     31.00
WA702       0602   9     35.00
WA702       0602  10     36.00
WA702       0602  11     34.00
WA702       0602  12     38.00
WA702       0602  13     44.00
WA702       0602  14     43.00
WA702       0602  15     45.00
WA702       0602  16     41.00
WA702       0602  17     40.00
WA702       0602  18     38.00
WA702       0602  19     35.00
WA702       0602  20     35.00
WA702       0602  21     38.00
WA702       0602  22   -999.00
WA702       0602  23     47.00
WA702       0602  24     44.00
WA702       0602  25     41.00
WA702       0602  26     45.00
WA702       0602  27     47.00
WA702       0602  28     44.00
WA702       0602  29     42.00
WA702       0602  30     43.00
WA702       0702   1     33.00
WA702       0702   2     32.00
WA702       0702   3     38.00
WA702       0702   4     38.00
WA702       0702   5     31.00
WA702       0702   6     38.00
WA702       0702   7     46.00
WA702       0702   8     39.00
WA702       0702   9     38.00
WA702       0702  10     51.00
WA702       0702  11     48.00
WA702       0702  12     46.00
WA702       0702  13     51.00
WA702       0702  14     38.00
WA702       0702  15     44.00
WA702       0702  16     40.00
WA702       0702  17     43.00
WA702       0702  18     48.00
WA702       0702  19     44.00
WA702       0702  20     45.00
WA702       0702  21     42.00
WA702       0702  22     47.00
WA702       0702  23     50.00
WA702       0702  24     48.00
WA702       0702  25     53.00
WA702       0702  26     46.00
WA702       0702  27     42.00
WA702       0702  28     40.00
WA702       0702  29     41.00
WA702       0702  30     38.00
WA702       0702  31     28.00
WA702       0802   1     38.00
WA702       0802   2     32.00
WA702       0802   3     31.00
WA702       0802   4     38.00
WA702       0802   5     32.00
WA702       0802   6     36.00
WA702       0802   7     36.00
WA702       0802   8     33.00
WA702       0802   9     38.00
WA702       0802  10     42.00
WA702       0802  11     41.00
WA702       0802  12     40.00
WA702       0802  13     47.00
WA702       0802  14     45.00
WA702       0802  15     41.00
WA702       0802  16     43.00
WA702       0802  17     35.00
WA702       0802  18     33.00
WA702       0802  19     34.00
WA702       0802  20     44.00
WA702       0802  21     44.00
WA702       0802  22     37.00
WA702       0802  23     42.00
WA702       0802  24     42.00
WA702       0802  25     43.00
WA702       0802  26     48.00
WA702       0802  27     41.00
WA702       0802  28     45.00
WA702       0802  29     44.00
WA702       0802  30     44.00
WA702       0802  31     45.00
WA702       0902   1     38.00
WA702       0902   2     37.00
WA702       0902   3     31.00
WA702       0902   4     28.00
WA702       0902   5     28.00
WA702       0902   6     29.00
WA702       0902   7     30.00
WA702       0902   8     29.00
WA702       0902   9     39.00
WA702       0902  10     41.00
WA702       0902  11     39.00
WA702       0902  12     41.00
WA702       0902  13     35.00
WA702       0902  14     42.00
WA702       0902  15     42.00
WA702       0902  16     40.00
WA702       0902  17     31.00
WA702       0902  18     29.00
WA702       0902  19     33.00
WA702       0902  20     32.00
WA702       0902  21     34.00
WA702       0902  22     38.00
WA702       0902  23     40.00
WA702       0902  24     35.00
WA702       0902  25     37.00
WA702       0902  26     34.00
WA702       0902  27     31.00
WA702       0902  28     31.00
WA702       0902  29     33.00
WA702       0902  30     33.00
WA702       1002   1     28.00
WA702       1002   2     26.00
WA702       1002   3     40.00
WA702       1002   4     42.00
WA702       1002   5     41.00
WA702       1002   6     37.00
WA702       1002   7     35.00
WA702       1002   8     31.00
WA702       1002   9     35.00
WA702       1002  10     31.00
WA702       1002  11     27.00
WA702       1002  12     31.00
