$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:49 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       0202   7     27.00
WA975       0202   8     22.00
WA975       0202   9     18.00
WA975       0202  10     27.00
WA975       0202  11     13.00
WA975       0202  12     11.00
WA975       0202  13     17.00
WA975       0202  14     20.00
WA975       0202  15     29.00
WA975       0202  16     31.00
WA975       0202  17     28.00
WA975       0202  18     32.00
WA975       0202  19     31.00
WA975       0202  20     24.00
WA975       0202  21     31.00
WA975       0202  22     34.00
WA975       0202  23     20.00
WA975       0202  24      7.00
WA975       0202  25      2.00
WA975       0202  26     18.00
WA975       0202  27     15.00
WA975       0202  28     16.00
WA975       0302   1     11.00
WA975       0302   2     18.00
WA975       0302   3     22.00
WA975       0302   4     26.00
WA975       0302   5     17.00
WA975       0302   6      9.00
WA975       0302   7      9.00
WA975       0302   8     12.00
WA975       0302   9     19.00
WA975       0302  10     22.00
WA975       0302  11     30.00
WA975       0302  12     29.00
WA975       0302  13     24.00
WA975       0302  14     27.00
WA975       0302  15     24.00
WA975       0302  16     16.00
WA975       0302  17      6.00
WA975       0302  18     18.00
WA975       0302  19     20.00
WA975       0302  20     12.00
WA975       0302  21     20.00
WA975       0302  22     32.00
WA975       0302  23     29.00
WA975       0302  24     32.00
WA975       0302  25     29.00
WA975       0302  26     28.00
WA975       0302  27     28.00
WA975       0302  28     30.00
WA975       0302  29     30.00
WA975       0302  30     33.00
WA975       0302  31     32.00
WA975       0402   1     29.00
WA975       0402   2     20.00
WA975       0402   3     27.00
WA975       0402   4     28.00
WA975       0402   5     36.00
WA975       0402   6     33.00
WA975       0402   7     26.00
WA975       0402   8     25.00
WA975       0402   9     32.00
WA975       0402  10     34.00
WA975       0402  11     35.00
WA975       0402  12     36.00
WA975       0402  13     37.00
WA975       0402  14     28.00
WA975       0402  15     28.00
WA975       0402  16     29.00
WA975       0402  17     32.00
WA975       0402  18     30.00
WA975       0402  19     29.00
WA975       0402  20     31.00
WA975       0402  21     34.00
WA975       0402  22     29.00
WA975       0402  23     23.00
WA975       0402  24     20.00
WA975       0402  25     28.00
WA975       0402  26     29.00
WA975       0402  27     30.00
WA975       0402  28     29.00
WA975       0402  29     29.00
WA975       0402  30     34.00
WA975       0502   1     31.00
WA975       0502   2     33.00
WA975       0502   3     30.00
WA975       0502   4     31.00
WA975       0502   5     26.00
WA975       0502   6     24.00
WA975       0502   7     29.00
WA975       0502   8     29.00
WA975       0502   9     26.00
WA975       0502  10     29.00
WA975       0502  11     29.00
WA975       0502  12     32.00
WA975       0502  13     34.00
WA975       0502  14     29.00
WA975       0502  15     27.00
WA975       0502  16     29.00
WA975       0502  17     33.00
WA975       0502  18     34.00
WA975       0502  19     36.00
WA975       0502  20     38.00
WA975       0502  21     37.00
WA975       0502  22     37.00
WA975       0502  23     32.00
WA975       0502  24     30.00
WA975       0502  25     36.00
WA975       0502  26     33.00
WA975       0502  27     35.00
WA975       0502  28     41.00
WA975       0502  29     40.00
WA975       0502  30     34.00
WA975       0502  31     33.00
WA975       0602   1     33.00
WA975       0602   2     36.00
WA975       0602   3     34.00
WA975       0602   4     37.00
WA975       0602   5     36.00
WA975       0602   6     32.00
WA975       0602   7     30.00
WA975       0602   8     33.00
WA975       0602   9     36.00
WA975       0602  10     35.00
WA975       0602  11     38.00
WA975       0602  12     38.00
WA975       0602  13     40.00
WA975       0602  14     42.00
WA975       0602  15     41.00
WA975       0602  16     40.00
WA975       0602  17     42.00
WA975       0602  18     40.00
WA975       0602  19     39.00
WA975       0602  20     36.00
WA975       0602  21     40.00
WA975       0602  22     42.00
WA975       0602  23     42.00
WA975       0602  24     40.00
WA975       0602  25     40.00
WA975       0602  26     46.00
WA975       0602  27     46.00
WA975       0602  28     44.00
WA975       0602  29     43.00
WA975       0602  30     42.00
WA975       0702   1     36.00
WA975       0702   2     35.00
WA975       0702   3     39.00
WA975       0702   4     40.00
WA975       0702   5     34.00
WA975       0702   6     38.00
WA975       0702   7     46.00
WA975       0702   8     41.00
WA975       0702   9     36.00
WA975       0702  10     54.00
WA975       0702  11     49.00
WA975       0702  12     48.00
WA975       0702  13     53.00
WA975       0702  14     46.00
WA975       0702  15     42.00
WA975       0702  16     45.00
WA975       0702  17     47.00
WA975       0702  18     48.00
WA975       0702  19     45.00
WA975       0702  20     43.00
WA975       0702  21     45.00
WA975       0702  22     47.00
WA975       0702  23     51.00
WA975       0702  24     51.00
WA975       0702  25     50.00
WA975       0702  26     50.00
WA975       0702  27     46.00
WA975       0702  28     45.00
WA975       0702  29     49.00
WA975       0702  30     40.00
WA975       0702  31     36.00
WA975       0802   1     37.00
WA975       0802   2     37.00
WA975       0802   3     34.00
WA975       0802   4     42.00
WA975       0802   5     40.00
WA975       0802   6     43.00
WA975       0802   7     43.00
WA975       0802   8     42.00
WA975       0802   9     42.00
WA975       0802  10     46.00
WA975       0802  11     41.00
WA975       0802  12     43.00
WA975       0802  13     46.00
WA975       0802  14     46.00
WA975       0802  15     47.00
WA975       0802  16     45.00
WA975       0802  17     40.00
WA975       0802  18     40.00
WA975       0802  19     40.00
WA975       0802  20     49.00
