$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       0302  17     14.00
WA734       0302  18     14.00
WA734       0302  19     25.00
WA734       0302  20     15.00
WA734       0302  21     14.00
WA734       0302  22     19.00
WA734       0302  23     29.00
WA734       0302  24     29.00
WA734       0302  25     26.00
WA734       0302  26     25.00
WA734       0302  27     22.00
WA734       0302  28     28.00
WA734       0302  29     27.00
WA734       0302  30     27.00
WA734       0302  31     26.00
WA734       0402   1     26.00
WA734       0402   2     23.00
WA734       0402   3     26.00
WA734       0402   4     35.00
WA734       0402   5     34.00
WA734       0402   6     31.00
WA734       0402   7     24.00
WA734       0402   8     24.00
WA734       0402   9     33.00
WA734       0402  10     32.00
WA734       0402  11     33.00
WA734       0402  12     35.00
WA734       0402  13     36.00
WA734       0402  14     23.00
WA734       0402  15     24.00
WA734       0402  16     24.00
WA734       0402  17     25.00
WA734       0402  18     25.00
WA734       0402  19     29.00
WA734       0402  20     27.00
WA734       0402  21     28.00
WA734       0402  22     23.00
WA734       0402  23     20.00
WA734       0402  24     23.00
WA734       0402  25     30.00
WA734       0402  26     29.00
WA734       0402  27     29.00
WA734       0402  28     27.00
WA734       0402  29     32.00
WA734       0402  30     41.00
WA734       0502   1     36.00
WA734       0502   2     27.00
WA734       0502   3     26.00
WA734       0502   4     24.00
WA734       0502   5     20.00
WA734       0502   6     19.00
WA734       0502   7     20.00
WA734       0502   8     21.00
WA734       0502   9     29.00
WA734       0502  10     27.00
WA734       0502  11     30.00
WA734       0502  12     41.00
WA734       0502  13     31.00
WA734       0502  14     31.00
WA734       0502  15     27.00
WA734       0502  16     30.00
WA734       0502  17     36.00
WA734       0502  18     39.00
WA734       0502  19     39.00
WA734       0502  20     34.00
WA734       0502  21     33.00
WA734       0502  22     32.00
WA734       0502  23     32.00
WA734       0502  24     32.00
