$ Get data for 841:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:37 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA841           Upper Wheeler
WA841       0302  17     12.00
WA841       0302  18     10.00
WA841       0302  19     25.00
WA841       0302  20     13.00
WA841       0302  21     10.00
WA841       0302  22     19.00
WA841       0302  23     27.00
WA841       0302  24     32.00
WA841       0302  25     28.00
WA841       0302  26     28.00
WA841       0302  27     22.00
WA841       0302  28     27.00
WA841       0302  29     27.00
WA841       0302  30     28.00
WA841       0302  31     33.00
WA841       0402   1     25.00
WA841       0402   2     22.00
WA841       0402   3     25.00
WA841       0402   4     31.00
WA841       0402   5     34.00
WA841       0402   6     33.00
WA841       0402   7     28.00
WA841       0402   8     27.00
WA841       0402   9     31.00
WA841       0402  10     32.00
WA841       0402  11     33.00
WA841       0402  12     35.00
WA841       0402  13     37.00
WA841       0402  14     26.00
WA841       0402  15     27.00
WA841       0402  16     28.00
WA841       0402  17     27.00
WA841       0402  18     26.00
WA841       0402  19     29.00
WA841       0402  20     31.00
WA841       0402  21     31.00
WA841       0402  22     26.00
WA841       0402  23     20.00
WA841       0402  24     23.00
WA841       0402  25     30.00
WA841       0402  26     29.00
WA841       0402  27     31.00
WA841       0402  28     30.00
WA841       0402  29     31.00
WA841       0402  30     38.00
WA841       0502   1     35.00
WA841       0502   2     28.00
WA841       0502   3     26.00
WA841       0502   4     30.00
WA841       0502   5     26.00
WA841       0502   6     24.00
WA841       0502   7     25.00
WA841       0502   8     25.00
WA841       0502   9     30.00
WA841       0502  10     31.00
WA841       0502  11     32.00
WA841       0502  12     37.00
WA841       0502  13     34.00
WA841       0502  14     31.00
WA841       0502  15     29.00
WA841       0502  16     32.00
WA841       0502  17     38.00
WA841       0502  18     40.00
WA841       0502  19     39.00
WA841       0502  20     37.00
WA841       0502  21     33.00
WA841       0502  22     32.00
WA841       0502  23     32.00
WA841       0502  24     33.00
WA841       0502  25     40.00
WA841       0502  26     39.00
WA841       0502  27     41.00
WA841       0502  28     44.00
WA841       0502  29     41.00
WA841       0502  30     36.00
WA841       0502  31     37.00
WA841       0602   1     41.00
WA841       0602   2     41.00
WA841       0602   3     41.00
WA841       0602   4     44.00
WA841       0602   5     40.00
WA841       0602   6     29.00
WA841       0602   7     28.00
WA841       0602   8     29.00
WA841       0602   9     38.00
WA841       0602  10     43.00
WA841       0602  11     41.00
WA841       0602  12     46.00
WA841       0602  13     48.00
WA841       0602  14     52.00
WA841       0602  15     54.00
WA841       0602  16     42.00
WA841       0602  17     41.00
WA841       0602  18     36.00
WA841       0602  19     38.00
WA841       0602  20     41.00
WA841       0602  21     48.00
WA841       0602  22     53.00
WA841       0602  23     46.00
WA841       0602  24     44.00
WA841       0602  25     51.00
WA841       0602  26     57.00
WA841       0602  27     49.00
WA841       0602  28     44.00
WA841       0602  29     38.00
WA841       0602  30     39.00
WA841       0702   1     39.00
WA841       0702   2     39.00
WA841       0702   3     39.00
WA841       0702   4     37.00
WA841       0702   5     34.00
WA841       0702   6     46.00
WA841       0702   7     53.00
WA841       0702   8     44.00
WA841       0702   9     43.00
WA841       0702  10     63.00
WA841       0702  11     62.00
WA841       0702  12     63.00
